Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
24.9,87.6,2.9,37.1,54363,7661,12,60,341,2188277,1174,1324
19.1,88.5,2.9,49.6,67187,11949,11,60,279,2190790,1174,1324
29.8,88.5,3.3,29.8,77246,14479,11,61,205,2193525,1174,1324
35.3,91.2,2.5,25.3,85227,21767,12,60,256,2197313,1174,1324
92.7,101.1,2.9,7.3,78689,28047,19,60,354,2201940,1174,1324
29,89.7,2.8,31.5,96976,25246,16,59,325,2206578,1174,1324
23.5,107.2,2.1,39.4,67509,25931,22,60,316,2216672,1179,1331
15.5,114.5,2.2,61.3,60232,17929,26,61,445,2221312,1222,1383
27,89.3,2.5,34.1,88836,22636,17,61,342,2225605,1222,1383
34.7,93.1,3.1,25.8,85045,18383,17,61,356,2230268,1222,1383
41.8,88.9,2.6,20.7,85204,18859,13,60,260,2233879,1222,1383
38.9,90.5,2.6,22.5,79849,30668,18,59,310,2238524,1222,1383
41.1,92.2,2.3,10,95807,26587,17,59,338,2243728,1222,1383
109.1,124.3,2.5,0,17675,24390,100,64,1321,2249220,1222,1383
27.2,117.1,2.5,23.9,61719,13422,43,68,1282,2251737,1222,1383
130.4,116.7,2.7,4.6,67241,8740,10,60,255,2253838,1222,1383
39.2,88.1,3,22.6,96189,19620,10,60,216,2256625,1222,1383
27.6,110.7,2.4,30,42229,24703,35,60,423,2260508,1222,1383
38.8,89,2.5,23.2,90237,11344,14,59,309,2267870,1269,1433
151.3,113.7,2.4,3.6,91329,5800,10,60,377,2270789,1269,1433
40.6,86.3,2.9,21.9,84644,11920,10,60,261,2273345,1269,1433
128.9,103.2,2.4,4.9,77220,15130,12,60,264,2275911,1269,1433
33.8,89,2.7,26.7,89831,18794,11,60,197,2278711,1269,1433
29.1,91.6,2.2,31.5,88724,27381,17,60,294,2285839,1269,1433
16.2,118.9,3.5,59.2,54227,25448,24,60,384,2290126,1269,1433
14.2,117.9,3.6,53.4,70755,24010,19,60,443,2294268,1269,1433
36,91.6,2.1,24.5,84251,36418,21,60,338,2299116,1269,1433
23.3,98.5,2.7,36.3,78006,31293,21,61,338,2304205,1269,1433
33.6,92,2.3,26.7,88675,29162,19,60,311,2309402,1269,1433
73.7,128.9,2.6,10,123754,15523,9,70,788,2313201,1269,1433
59.6,105.3,2.5,13.9,65180,19104,18,63,490,2316067,1269,1433
20.9,104.7,1.9,45,92670,15958,12,60,260,2318633,1269,1435
39.7,103.2,2.4,15.8,76914,29513,23,60,396,2322452,1269,1435
20.1,108.9,2.2,42.3,71089,31631,23,61,344,2326881,1269,1435
21.6,91.2,3.2,43.2,77415,28377,23,60,389,2332516,1288,1456
162.5,116.4,3,3.3,57616,26196,24,59,328,2342747,1288,1456
38.7,97.6,2.5,19.2,75424,36903,27,60,351,2347882,1288,1456
34.1,92.4,2.5,26.6,82086,27166,18,59,350,2353663,1288,1456
44.8,116.7,2.1,19.5,81002,26608,60,59,510,2359516,1288,1456
66.7,124.6,3.2,12,48389,28987,72,60,607,2365081,1288,1456
32.4,90.1,2.4,27.8,81420,28872,20,60,341,2369896,1288,1456
24.7,88.2,2.8,37.6,97982,21290,13,60,697,2374046,1413,1595
238.7,111.2,2.8,1.1,59621,23847,25,61,292,2378366,1413,1595
152.1,101.6,2.1,3.3,63994,25562,25,60,292,2382595,1413,1598
36.4,93,3,24.6,72988,26777,22,60,332,2387042,1413,1598
138.8,106.7,2.4,4.4,71370,27754,21,61,308,2391721,1413,1598
159.7,101.1,2.8,3.5,85918,29123,18,60,281,2395922,1413,1598
21.5,89.7,3.2,43.7,98501,28311,15,60,304,2400861,1413,1598
51.4,132.1,4.2,0,14076,19482,100,80,1807,2404855,1413,1598
39.4,86.8,2.2,22.8,90788,15355,10,60,258,2407383,1413,1598
94.5,108.4,2.3,0,58518,24679,23,59,368,2413102,1413,1598
39,101.3,2.8,18.9,81846,31725,21,60,365,2417678,1413,1598
23.2,96.6,2.4,37.6,81883,26989,17,60,272,2422741,1413,1598
23.1,101.3,2.3,33.8,84327,26871,24,60,307,2427223,1417,1602
38.6,97.9,3.2,22.9,59814,23978,21,60,401,2431278,1417,1602
37,90.6,2.2,24.1,83387,34425,23,59,329,2436502,1417,1602
