Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
90.4,4294990,11.7,0,190211,38415,10,1,66,920480,7733,14294
90.6,4294989.5,11.9,0,161143,35042,11,1,65,922979,7733,14294
90.1,4294991,12.8,0,206223,41756,14,2,110,925640,7733,14294
91,4294993,14.9,0,215171,43891,10,2,80,928834,7733,14294
90,4294991,11.2,0,164700,49010,19,1,143,932154,7733,14294
90.2,4294993,13.5,0,192448,47625,17,1,102,935425,7733,14294
89.4,4294990,12.2,0,269179,46744,9,1,71,938602,7733,14294
89.6,4294989.5,10.5,0,205167,43197,9,2,74,941721,7733,14294
89.1,4294990,11.8,0,173815,41255,15,2,90,944673,7733,14294
89.8,4294990,11.8,0,206859,45734,13,1,79,947725,7733,14294
92.2,4294990,12.1,0,145377,43164,18,1,98,950968,7733,14294
88.8,4294990.5,12.2,0,206969,43476,11,1,90,953917,7733,14294
90.1,4294990,12,0,239513,46630,9,1,79,957004,7733,14294
90.5,4294989.5,11.1,0,165078,38637,11,2,72,960009,7733,14294
92.2,4294989.5,12.7,0,176120,35908,10,1,87,962644,7733,14294
92.4,4294990,12.2,0,201811,41194,9,1,76,965692,7733,14294
90,4294990,12.2,0,214303,46364,12,1,72,968731,7733,14294
89.7,4294990,12.6,0,236397,40260,7,2,63,971785,7733,14294
90.6,4294990,12.3,0,221532,44328,10,2,82,974764,7733,14294
90,4294990,12,0,171271,34663,9,1,67,977450,7733,14294
90.1,4294989.5,11.9,0,174344,34240,11,2,67,979963,7733,14294
89.9,4294990,12,0,225053,47246,9,1,73,983255,7733,14294
91.7,4294990,11.7,0,162809,44324,15,1,84,986323,7733,14294
90.4,4294990,11.8,0,199824,39231,9,1,80,989231,7733,14294
89.7,4294990,12.3,0,229103,41784,10,2,80,992235,7733,14294
90,4294992.5,16.2,0,189039,40958,11,2,88,995087,7733,14294
90,4294989.5,12.1,0,165473,27490,7,1,84,997624,7733,14294
90.3,4294990,12,0,221563,34737,9,1,75,1000132,7733,14294
