Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
90.3,17.2,8.2,0,178424,57578,16,3,128,17162,439,493
89.8,23.6,14.3,0,162444,53072,17,2,143,20953,439,493
90.5,17.9,12.4,0,48775,16800,4,2,132,23641,439,493
89.6,17.6,11,0,118383,10920,9,2,94,24369,439,493
89.6,18.7,11.8,0,147051,10941,4,2,60,25514,439,493
90.9,19.3,12.3,0,143231,10617,4,2,73,26536,439,493
90.2,19.4,12,0,133390,14683,7,2,72,27708,439,493
89.9,19.8,12.1,0,127554,13865,6,2,77,28894,439,493
89,18.7,11.2,0,142135,14687,5,2,64,30149,439,493
89.1,19,11.6,0,102729,15093,11,1,95,31386,439,493
89.9,21.6,13.7,0,145542,14127,4,1,59,32578,439,493
89.7,19.8,12.1,0,154814,13745,4,1,67,33822,439,493
90.6,25.6,17.2,0,215508,15900,4,1,261,35052,439,493
89.7,19.8,11.7,0,153949,14262,4,2,63,36394,439,493
89.9,19.3,11.5,0,142679,13500,4,2,61,37621,439,493
89,19.6,12,0,89059,12074,6,2,87,38820,439,493
90.8,19.9,11.7,0,114729,14238,6,1,78,39928,439,493
90.4,20.1,12.3,0,109382,11478,4,1,64,41041,439,493
89,18.9,11.3,0,170542,15641,4,2,63,42183,439,493
90,20.3,12,0,167708,23834,7,2,81,44029,439,493
90.1,19.6,11.3,0,160317,22808,4,2,63,45927,439,493
89.6,20.3,12.5,0,148494,23851,8,2,80,47731,439,493
90,19.8,11.4,0,160005,23668,11,2,73,49462,439,493
89.8,19.5,11.9,0,152857,16545,7,2,69,50921,439,493
90.1,19.4,11,0,110122,16138,11,1,79,52253,439,493
90.1,19.7,11.6,0,107810,14545,5,2,65,53498,439,493
90,19.3,11.7,0,137649,12611,4,2,72,54679,439,493
90.1,18.8,11.2,0,127523,14186,5,2,75,55870,439,493
89.6,19.4,11.7,0,131005,13672,5,1,94,57042,439,493
