Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
69.8,4294990,1.7,12.5,167689,23494,5,1,78,7864270,18886,40935
72.9,4294985.5,2.3,11.7,201897,21171,5,2,90,7866458,18886,40935
73.5,4294985.5,2,11.4,173926,21583,9,2,110,7868532,18886,40935
67.6,4294989.5,1.8,12.6,244967,60489,14,1,66,7872345,18886,40935
66,4294989.5,2.4,12.5,214754,69327,17,1,74,7878464,18886,40935
10.1,4294994,1.7,96.8,258609,43784,10,2,83,7884187,18886,40935
89.9,4294996.5,18.2,0,200763,89781,23,2,99,7890412,18886,40935
90.6,4294989.5,11.6,0,243332,89023,18,2,97,7896439,18886,40935
90.3,4294992,12.6,0,174292,89262,26,2,100,7902553,18886,40935
90.4,4294991,11.2,0,176905,86392,25,1,114,7908636,18886,40935
89.9,4294992,13.3,0,178188,72332,16,1,97,7914224,18886,40935
89.7,4294990,9.9,0,176235,66850,19,2,94,7918633,18886,40935
90.3,4294991,11.9,0,244517,59795,12,2,101,7923058,18886,40935
90.1,4294988.5,13.1,0,125847,34994,6,1,85,7926336,18886,40935
89.9,4294986.5,10.4,0,175368,12968,4,1,75,7927471,18886,40935
89.6,4294990,11.5,0,175549,50480,16,2,89,7930782,18886,40935
88,4294989.5,13.3,0,171357,31937,7,1,70,7933527,18886,40935
90.2,4294987,11.2,0,127336,14849,6,1,85,7934731,18886,40935
90,4294989.5,10.7,0,182957,33123,15,1,109,7936746,18886,40935
90.7,4294995,12.8,0,200095,83713,21,2,93,7942392,18886,40935
90.2,4294993,11.7,0,192328,85339,23,2,96,7948366,18886,40935
89.5,4294993.5,11.7,0,216620,97240,20,2,108,7954244,18886,40935
69.4,4294988,2,12.5,199206,20521,5,1,67,7957512,18886,40935
75,4294989.5,2.5,11,239954,64518,12,1,66,7963109,18886,40935
83.4,4294989.5,2,9.7,238506,35920,10,2,214,7967149,18935,40992
60.9,4294995,2.2,14.2,218747,57094,13,1,83,7971955,18935,40992
71,4294988.5,2,11.5,240511,61414,12,2,64,7977697,18935,40992
79.5,4294989.5,2.5,10.4,226937,63964,14,2,71,7983421,18935,40992
73.3,4294990,2.3,11.7,216092,60118,15,2,75,7988767,18935,40992
73,4294990,2.6,10.7,182671,68074,20,2,94,7994675,18935,40992
76.1,4294989.5,2.3,11.1,226494,70744,15,2,76,8000708,18935,40992
68.5,4294988.5,2.2,12.6,229472,66186,15,2,88,8006743,18935,40992
70.3,4294991,2.3,11.6,215854,67067,16,2,72,8012832,18935,40992
73.3,4294990,2.2,11.6,223547,65224,14,2,86,8018718,18935,40992
70.6,4294989.5,2.2,11.8,194222,63777,19,1,83,8024674,18935,40992
52.5,4294988.5,2,17.2,281053,42981,8,1,80,8028532,18935,40992
76.7,4294990.5,2.3,11,176929,73948,21,1,96,8034252,18935,40992
75.9,4294990,2.2,11.1,205842,71546,17,2,87,8040242,18935,40992
63.5,4294988.5,1.9,13.4,277274,64164,12,2,71,8046290,18935,40992
82.3,4294989.5,2.6,8.6,239136,74022,15,2,98,8052358,18935,40992
82.4,4294990,2.6,10,246031,61386,13,2,102,8058034,18935,40992
74.9,4294989.5,2.5,10.1,190040,57652,16,1,94,8063676,18935,40992
90,4294991,13.4,0,172544,83598,25,1,114,8069609,18935,40992
89.9,4294990,11.8,0,162102,88193,32,1,111,8075549,18935,40992
89.9,4294990,11.7,0,166987,65821,20,1,104,8080342,18935,40992
89.5,4294989.5,11.7,0,187445,58316,15,1,103,8084411,18935,40992
90.1,4294991.5,13.7,0,160124,48347,14,1,111,8087951,18935,40992
90.7,4294989.5,10.3,0,196272,50953,16,1,91,8091317,18935,40992
90.8,4294990,11.7,0,199900,52721,14,1,120,8095175,18935,40992
89.5,4294990,11.1,0,173632,58647,18,1,115,8099191,18935,40992
90.3,4294991,11.7,0,164037,63220,19,1,114,8103456,18935,40992
89.5,4294991,10.9,0,221354,64860,17,1,90,8107864,18935,40992
89.6,4294992.5,11.5,0,178199,84285,24,1,109,8113505,18935,40992
90.2,4294988,11.6,0,176559,34062,6,2,90,8117139,18935,40992
90,4294990,12.6,0,160520,48902,15,1,99,8120242,18935,40992
89.9,4294989.5,10.8,0,207325,51210,13,1,102,8123729,18935,40992
90.5,4294991,11.7,0,177545,58117,18,2,112,8127776,18935,40992
89.7,4294990,11,0,150646,59946,21,1,116,8131978,18935,40992
90,4294992,11.2,0,196802,75747,21,2,97,8136649,18935,40992
66.2,4294989.5,2.1,12.6,219238,57853,16,2,98,8142200,18935,40992
65.3,4294990,2,12.9,273479,55747,10,2,70,8147313,18935,40992
73,4294992,2.2,11.7,257998,65598,10,2,75,8153309,18935,40992
47.7,4294997,2.2,18.9,197618,23418,4,1,68,8156725,18935,40992
74.8,4294984.5,1.7,11.3,146479,16545,5,1,55,8158289,18935,40992
74.6,4294984.5,1.7,11.3,175226,15978,5,1,47,8159734,18935,40992
78.2,4294988.5,1.9,10.9,174348,16672,5,1,45,8161394,18935,40992
75.7,4294983.5,1.7,11.3,175240,14422,5,1,41,8162796,18935,40992
72.8,4294988.5,2.2,11.6,195834,17099,3,1,48,8164246,18935,40992
77.9,4294985,2.2,10.9,136225,14851,4,1,48,8165711,18935,40992
80.9,4294987,2.4,10.1,108353,14131,6,1,49,8167065,18935,40992
67.8,4294994.5,2,12.7,201398,26536,15,1,60,8168910,18935,40992
69.6,4294993,2.5,11.5,240401,67695,13,1,71,8174977,18935,40992
65,4294990.5,2.2,12.8,217378,55068,14,1,81,8180459,18935,40992
64.9,4294990.5,2.1,13.1,186389,45179,12,1,92,8185045,18935,40992
68.4,4294989.5,2.2,12.5,244279,58423,12,1,83,8189874,18935,40992
86.2,4294990,2.6,9.2,301796,45012,7,1,74,8195417,18935,40992
79.7,4294988.5,2.1,10.6,194519,20222,5,1,56,8197515,18935,40992
72.1,4294990,1.8,11.8,203194,42692,12,2,68,8201061,18935,40992
124.7,4294978.5,2,5.5,165153,10751,2,2,46,8203324,18935,40992
90.2,4294985.5,12.4,0,122676,14641,5,2,86,8204952,18935,40992
90.7,4294989.5,16.6,0,132955,14861,4,2,81,8206187,18935,40992
90,4294986.5,12.1,0,133404,13494,4,1,49,8207370,18935,40992
89.9,4294986.5,12.2,0,123138,13297,5,1,79,8208573,18935,40992
89.9,4294986.5,11.5,0,153844,14824,5,1,62,8209757,18935,40992
90.1,4294986.5,11.8,0,125712,13419,6,1,62,8210919,18935,40992
89.8,4294987.5,11.4,0,124697,12801,9,1,153,8212051,18935,40992
89.4,4294986.5,10.6,0,114054,14304,8,1,87,8213258,18935,40992
91.6,4294987.5,12.2,0,163228,13670,5,1,96,8214445,18935,40992
90,4294986.5,11,0,135971,11654,5,2,60,8215478,18935,40992
90,4294987,11.7,0,132692,10379,4,2,67,8216467,18935,40992
89.4,4294987.5,11.6,0,114766,13071,7,1,75,8217592,18935,40992
90.5,4294988.5,12.3,0,108752,11521,6,1,101,8218712,18935,40992
89.2,4294987.5,11.9,0,147291,12343,5,1,93,8219833,18935,40992
90.1,4294987.5,11.5,0,103530,11053,7,1,99,8220862,18935,40992
89.7,4294989.5,15.5,0,135999,12417,4,1,48,8221963,18935,40992
54.1,4294996.5,1.7,16.6,186164,15774,5,1,57,8223326,18935,40992
59.4,4294990,2,14.3,241662,51263,10,1,76,8228032,18935,40992
61.9,4294990,2.1,14,204280,56575,12,1,79,8233068,18935,40992
66,4294991,2.4,13,159365,55261,32,2,160,8239533,19100,41169
63.1,4294990,2.2,13.6,224185,55207,13,1,128,8246607,19100,41169
68,4294991,1.9,12.7,215395,59316,13,2,88,8251991,19100,41169
63.5,4294990.5,2.5,13,171505,53670,13,1,96,8257051,19100,41169
76.4,4294991,2.4,10.7,192521,47854,13,2,97,8261776,19100,41169
70.8,4294991.5,2.7,10.8,207560,53980,14,1,82,8266915,19100,41169
72.5,4294990,2.4,11,185407,54256,14,2,102,8272189,19100,41169
59.5,4294989.5,2,14.6,282352,56695,9,2,68,8277192,19100,41169
65,4294991.5,2.2,13.3,223951,52826,11,2,90,8282516,19100,41169
68.4,4294996,3,11.9,194597,54833,18,2,96,8287983,19100,41169
65.6,4294989.5,2.6,12.8,246845,60820,11,1,82,8293753,19100,41169
70.4,4294990.5,1.9,12.2,223035,53462,13,1,78,8298861,19100,41169
76.2,4294992,2.1,10.9,196119,50340,14,2,89,8303742,19100,41169
70.9,4294992.5,2.7,11.3,302638,52452,8,2,73,8308822,19100,41169
66,4294990,2.4,12.9,232612,53256,11,2,71,8313692,19100,41169
63.5,4294994.5,2.5,12.9,233777,47398,10,2,73,8318720,19100,41169
57.5,4294989.5,2.4,15.2,212273,54001,13,2,84,8323700,19100,41169
67.3,4294991,2.4,12.7,236763,60010,13,2,90,8329341,19100,41169
65.5,4294990,2.4,13.2,270496,61325,11,1,84,8335352,19100,41169
70.1,4294990,2.4,11.4,224962,63533,13,1,93,8341364,19100,41169
62.9,4294994,2.4,13.3,205705,57488,15,2,91,8346719,19100,41169
68.1,4294991,1.8,12.7,196233,58676,16,2,99,8352114,19100,41169
62.9,4294995,2.7,13.3,210960,60656,14,1,97,8358110,19100,41169
59.3,4294995,1.9,14.8,274101,59708,11,2,86,8363320,19100,41169
68,4294991,2.1,12,241061,62913,13,2,86,8369354,19100,41169
64.9,4294990,2,13.2,259713,59574,11,2,71,8374879,19100,41169
57.5,4294989.5,1.8,15.2,221863,52133,9,2,76,8380365,19100,41169
70.3,4294989.5,2.3,11.8,213639,37382,7,2,70,8384097,19100,41169
62.6,4294991,2.2,13.7,220149,43268,8,1,84,8388090,19100,41169
66.9,4294989,1.9,12.8,186232,49432,13,1,93,8392706,19100,41169
62.6,4294994,2.4,13.5,231146,61466,13,1,78,8397850,19100,41169
63.3,4294995,2.1,13.3,227145,63365,13,1,88,8403898,19100,41169
66.8,4294989.5,2.2,12.9,209367,66546,16,2,100,8409998,19100,41169
67,4294991,1.9,13,248573,67432,13,2,77,8416149,19100,41169
76.4,4294993,2.2,11.1,189657,65913,17,1,91,8422299,19100,41169
60.8,4294989.5,2.4,14.4,195098,65359,16,2,95,8428454,19100,41169
65,4294990,2.5,12.9,220745,65558,14,2,93,8434603,19100,41169
67.3,4294992,2.2,12.7,171067,64721,20,1,106,8440755,19100,41169
71,4294991,2.4,11.2,166767,67456,20,1,114,8446895,19100,41169
72.5,4294993,2,11.7,210393,66688,16,2,92,8453023,19100,41169
69.9,4294989.5,2.4,11.3,172927,66830,19,2,118,8459146,19100,41169
79.6,4294992,2.4,10.7,235006,68200,14,2,97,8465294,19100,41169
62.6,4294994.5,2.1,13.7,187464,63768,17,2,98,8471450,19100,41169
53.9,4294991,2.1,16.4,156662,68871,22,2,121,8477598,19100,41169
73.4,4294991,1.9,11,162893,67198,27,2,135,8483716,19100,41169
75.5,4294991,1.9,11.4,244725,69215,14,1,81,8489865,19100,41169
90.3,4294992,14.5,0,234842,81672,21,2,87,8496057,19100,41169
90,4294990.5,12.7,0,219376,85873,21,2,98,8502086,19100,41169
90.2,4294988.5,10.2,0,237170,77921,16,2,103,8507840,19100,41169
89.1,4294992,12.6,0,243029,87170,18,2,100,8513567,19100,41169
89.8,4294993,13.3,0,267237,80300,14,2,87,8519218,19100,41169
89.5,4294992,12,0,210045,83025,20,1,111,8524982,19100,41169
89.3,4294993,12.3,0,187053,85628,26,1,124,8530810,19100,41169
89.8,4294991,10.1,0,189565,81650,24,1,98,8536342,19100,41169
89.4,4294994,12.9,0,193742,85172,22,1,105,8542214,19100,41169
90,4294991,11.5,0,189588,85112,22,2,108,8548156,19100,41169
89.9,4294993,13,0,181625,87870,25,2,109,8553788,19100,41169
89.6,4294989.5,9.9,0,185224,55867,14,2,105,8558720,19100,41169
90.3,4294990,11.6,0,197907,59560,13,2,102,8562860,19100,41169
89.3,4294991,10,0,171838,67951,24,2,114,8567062,19100,41169
89.4,4294990.5,11.3,0,191625,67642,17,2,90,8571945,19100,41169
89.4,4294989.5,15,0,104681,18387,6,1,100,8574454,19100,41169
89.1,4294988,12.3,0,117384,13281,6,1,129,8575655,19100,41169
64.8,4294996,2.2,13.5,200666,55977,16,2,111,8580254,19100,41169
65.4,4294990.5,2.4,13.3,208333,68012,17,2,100,8586351,19100,41169
76.2,4294991,2.2,11.3,201480,68148,18,1,87,8592406,19100,41169
65.9,4294989.5,2.3,13.4,187244,69662,19,1,107,8598511,19100,41169
76,4294989.5,2.4,11.3,272760,65167,19,2,114,8605769,19162,41242
74,4294992,2.1,11.6,229875,59861,14,2,84,8612243,19162,41242
63.4,4294994,2,13.9,275193,65168,11,2,82,8618222,19162,41242
68.5,4294991,2.2,12.3,237048,65096,13,1,90,8624258,19162,41242
73.3,4294991,2.4,11.8,225113,66566,14,2,94,8630252,19162,41242
59.5,4294995,2.4,13.9,200317,61762,15,2,102,8636109,19162,41242
31.5,4294989,1.9,29.9,202908,69199,15,2,93,8642083,19162,41242
68.2,4294994,2.4,12,193729,67092,18,2,102,8648026,19162,41242
62.9,4294990,2.1,13.7,183989,65540,18,1,114,8653874,19162,41242
78.6,4294994,2.2,11,205796,67678,15,1,106,8659751,19162,41242
65.8,4294991.5,2.1,12.5,206219,67219,17,2,99,8665303,19162,41242
66.8,4294988.5,2.2,12.9,185095,71143,18,2,103,8671243,19162,41242
64.3,4294988.5,2.1,13.6,166954,64324,17,2,115,8676907,19162,41242
65,4294991.5,2.3,12.6,178817,69829,19,1,104,8682818,19162,41242
62.6,4294988.5,2,14.1,280082,63718,11,1,64,8688729,19162,41242
73.1,4294992,1.9,11.5,237045,60850,15,1,82,8694702,19162,41242
35.2,4294989.5,1.9,26.1,232204,64433,14,1,114,8700522,19162,41242
65.1,4294993,2.2,12.5,209198,65330,17,2,85,8706613,19162,41242
72.8,4294993,2.3,11.5,227172,68928,15,2,93,8712675,19162,41242
62.1,4294989.5,1.9,14,231400,65219,13,1,92,8718553,19162,41242
47.9,4294991,2.5,18.3,194614,62387,17,2,103,8724150,19162,41242
73,4294990.5,2.2,11.5,169588,60319,19,2,99,8729607,19162,41242
91.3,4294993,2.4,7.6,225483,56132,17,2,88,8735101,19162,41242
68.1,4294994.5,2.2,12,217689,66703,16,1,67,8740679,19162,41242
76,4294992,2.1,11.3,206440,67057,17,1,94,8746590,19162,41242
65.4,4294991,1.8,13.4,214101,68762,17,2,94,8752607,19162,41242
65.8,4294993,2.1,13.4,198639,63528,15,2,84,8758553,19162,41242
73.9,4294991,2.2,11.2,150887,59945,21,1,92,8764201,19162,41242
67.6,4294991,2,12.8,220402,67959,17,1,126,8769893,19162,41242
67,4294991,2.3,12.8,207803,68515,17,2,94,8775878,19162,41242
72.8,4294993,2.4,11.8,253920,69160,13,2,90,8781960,19162,41242
59.3,4294990,2.1,14.3,230758,65286,14,1,79,8787856,19162,41242
73.6,4294990,2.2,11.9,220631,62176,15,1,93,8793733,19162,41242
64.1,4294990,2.1,13.8,161355,66136,21,2,102,8799482,19162,41242
67.7,4294992.5,2.1,12.8,186527,67308,18,1,98,8805338,19162,41242
75.8,4294989.5,2.2,11.4,191330,68001,18,1,93,8811045,19162,41242
76.1,4294991,2.3,11.2,227893,64747,15,2,96,8816746,19162,41242
75.7,4294989.5,2.2,11.1,190602,66073,19,2,97,8822621,19162,41242
70.4,4294990,2.3,12.5,166358,62446,19,1,97,8828564,19162,41242
73.2,4294991,2.1,11.9,224189,69489,15,2,81,8834561,19162,41242
65.7,4294989.5,1.8,13.5,225380,69452,16,1,99,8840608,19162,41242
67.1,4294989.5,2.3,12.5,244686,67062,14,1,86,8846255,19162,41242
75.9,4294992,2.2,11,180500,69693,20,1,95,8852309,19162,41242
75.7,4294990,2.1,11.2,203870,67933,17,1,97,8858331,19162,41242
62.8,4294991,2,14.1,186522,67564,18,2,97,8864250,19162,41242
63.5,4294989.5,1.6,13.8,203211,69071,17,2,94,8870284,19162,41242
78.9,4294995,2,10.9,244617,66021,13,1,91,8876257,19162,41242
67.7,4294994,1.9,13,211304,64728,15,1,94,8882068,19162,41242
63.2,4294990,2.3,13.7,230464,66425,14,1,94,8888082,19162,41242
71.2,4294992,2.4,12.2,177224,63869,20,1,102,8893858,19162,41242
65.2,4294990.5,2.2,12.4,222493,64409,15,1,90,8899704,19162,41242
67.8,4294992,2.6,12.2,238630,64559,14,1,86,8905011,19162,41242
65.3,4294993,1.9,13.5,231750,63350,14,1,91,8911097,19162,41242
66,4294990,2.2,12.5,176112,69794,20,1,104,8917174,19162,41242
72.1,4294996,2.2,11.6,182312,47932,29,4,735,8922988,20051,42772
61,4294993.5,3,12.7,181739,51288,29,4,439,8956786,24623,51701
113.8,4294992.5,3,5.1,202121,46875,35,9,372,8990247,29103,60469
73.3,4294988.5,2,11.5,240175,66919,23,4,130,8998641,29266,60807
65.6,4294989.5,2.4,10.4,201939,67951,28,2,162,9005698,29473,61030
73,4294992,2,11.8,181272,68863,20,1,113,9012748,29473,61030
64.7,4294989.5,2.1,13.8,268420,70877,14,2,106,9018880,29473,61030
72.1,4294992,1.8,12.1,196787,72400,18,2,95,9024993,29473,61030
70.2,4294994,2,12.4,200262,62837,16,1,96,9030553,29473,61030
58.9,4294990,1.8,15.1,216909,67269,14,1,91,9036552,29473,61030
65,4294989.5,2.2,13.6,220122,70739,16,1,99,9042541,29473,61030
70.5,4294990,2,12.3,269159,68002,12,1,77,9048306,29473,61030
73.5,4294995,2.8,10.4,248106,63883,12,2,81,9053900,29473,61030
73.1,4294991.5,1.8,11.8,193101,60960,18,1,103,9059349,29473,61030
73.8,4294990,2.2,11.7,195617,68868,18,1,87,9065158,29473,61030
61.2,4294990,1.7,14.4,222535,63855,19,2,88,9070923,29473,61030
38.6,4294990,2,24,178352,66709,17,1,105,9076983,29473,61030
70.4,4294989.5,2.3,11.9,206717,67929,16,2,96,9083050,29473,61030
148.3,4294985.5,2,4,202695,46162,13,1,93,9089111,29473,61030
90.5,4294991,12.9,0,191632,88188,23,1,110,9095262,29473,61030
90.1,4294990,12.3,0,141361,88773,36,2,134,9101329,29473,61030
90.1,4294992,12.5,0,195112,87282,23,2,89,9107389,29473,61030
90.7,4294991,11,0,200209,89170,23,1,98,9113457,29473,61030
89.9,4294991,10.5,0,194262,88545,23,1,112,9119518,29473,61030
89.9,4294992,11.9,0,154006,86784,30,2,135,9125576,29473,61030
90.1,4294992,11.3,0,175835,86962,25,1,93,9131623,29473,61030
89.8,4294992,12.3,0,200468,89237,22,1,112,9137714,29473,61030
90.4,4294993,12.9,0,181623,84680,25,1,116,9143775,29473,61030
89.9,4294994,12.2,0,182727,89365,25,1,105,9149851,29473,61030
90,4294994,12,0,181615,86793,26,2,107,9155918,29473,61030
91.2,4294994,12.2,0,181808,89346,25,2,111,9161996,29473,61030
89.6,4294985,10.3,0,178312,35032,5,1,82,9166212,29473,61030
90,4294986.5,9.5,0,228639,20383,9,2,64,9167830,29473,61030
89.9,4294989.5,11.4,0,247475,56715,12,2,74,9171666,29473,61030
90,4294992,10.7,0,163893,85730,29,1,93,9177616,29473,61030
45.6,4294991,2.1,20,178808,49023,14,1,115,9182822,29473,61030
67,4294989.5,1.9,13,216367,65603,14,1,81,9188903,29473,61030
67.7,4294991,2,12.6,180311,68171,19,1,99,9195012,29473,61030
73.6,4294990,2.1,11.7,204626,67548,16,2,98,9201088,29473,61030
63,4294989,2,13.9,205429,69579,18,2,86,9207135,29473,61030
73.2,4294992,2.2,11.3,172064,65881,21,1,91,9213186,29473,61030
62.8,4294990,2,13.7,210824,69017,17,1,87,9219207,29473,61030
73.9,4294990,2.1,11.7,257072,67593,13,2,77,9225320,29473,61030
