Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
17.9,136.5,3.1,52.8,9868,8300,96,66,946,5146662,3919,4717
18,146.6,4.9,44.1,5393,5925,100,81,1146,5147747,3930,4732
25.9,110.4,2.7,35.1,38643,3914,23,74,1076,5148447,3930,4732
142.9,109.8,3.2,3.4,42483,3807,6,67,481,5149080,3930,4732
26.7,114.6,2.2,34.8,28554,7948,32,66,502,5150660,3930,4732
118.1,106.9,2.2,5.8,46754,12528,17,65,477,5151980,3930,4732
23.3,109.6,3,40.4,41819,17649,26,67,596,5155518,3930,4732
28.2,115.9,2.8,32.7,38057,20503,32,68,549,5159926,3930,4732
37.8,108.7,3.6,23.5,37544,25125,37,67,656,5162430,3930,4732
167.9,115.1,2.7,3.3,37013,18611,30,66,590,5172108,3980,4786
23.5,108.6,2.9,38.5,35935,20006,48,67,451,5176381,3980,4786
33.5,105.5,5.6,27,57116,21290,23,66,298,5178691,3980,4786
23.5,108.5,2.3,39.9,49523,22442,28,65,628,5181348,3980,4786
23.1,113.4,4.1,40.6,41499,29160,46,67,543,5183903,3980,4786
17.6,111.2,3.1,54.1,35294,20094,40,67,459,5189903,3980,4786
31.1,108,3,29.4,47306,23663,26,67,441,5192670,3980,4786
16.8,120.8,3.4,56.7,18412,7900,65,81,1743,5206904,4054,4869
23.5,105.8,2.7,37.2,82317,8282,8,69,472,5208103,4054,4869
29.3,105.4,3.4,29.2,31965,10752,31,66,407,5210738,4054,4869
21.7,107.4,2.2,40.9,34117,9947,23,65,466,5212243,4054,4869
94.2,109.5,2.7,7.8,51892,12779,15,64,403,5213780,4054,4869
68.5,110,2.1,11.9,61318,12339,13,68,452,5215315,4054,4869
32.4,105.4,3.1,27.6,48483,17435,22,65,389,5218426,4054,4869
28.2,117.6,2.5,32.5,26964,19890,42,66,608,5222474,4054,4869
26.5,106.7,2.9,35,45586,23109,29,65,419,5224774,4054,4869
54.7,118.3,2.6,15.6,37292,23329,43,65,625,5232504,4054,4869
25.6,111.8,2.8,36.2,50245,22560,24,66,431,5237493,4054,4869
75,114.9,3.1,10.5,49711,23725,28,66,559,5240039,4054,4869
22.7,111.1,3,40.9,46350,10607,25,68,603,5246861,4093,4920
154.3,120.4,2.6,3.4,90469,6377,27,83,1036,5248669,4093,4920
23.8,105.6,3.1,37,68171,5612,7,68,403,5251041,4093,4920
61.1,107.2,2.8,13.6,45673,6364,11,66,422,5252184,4093,4920
27.9,94.4,2.6,27,34646,11700,25,65,451,5254711,4137,4970
76.8,109.2,2,10.2,54779,9009,12,65,426,5257528,4137,4970
21.3,114.7,3.7,44.1,41549,10119,19,66,388,5260386,4137,4970
25,111.6,2.6,37.3,30394,11063,28,66,479,5263612,4137,4970
62.4,115.1,2.3,12.9,31270,13287,26,65,518,5265224,4137,4970
23,112.5,2.5,39.6,49605,15253,19,67,472,5268774,4137,4970
82.7,112.5,2.3,9.2,56324,17891,18,66,409,5270760,4137,4970
21.7,118.1,2.3,39.3,30603,24473,49,67,754,5275764,4137,4970
45.7,165.2,44.4,0,115804,19521,60,86,1288,5278048,4165,5002
20.7,103,2.1,42.4,45083,1204,7,77,674,5281339,4191,5040
