Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
20:01.3,5.8,228.4,10.7,163.6,64698,597,2,5,1256,1760526,1625,1875
20:24.6,10.2,274.2,12.9,88.3,53635,1272,4,5,1211,1763190,1643,1897
20:36.2,5.4,243.8,10.2,175.2,70545,579,1,5,1637,1764466,1643,1897
20:47.7,5.6,241,18.8,164.5,132107,686,4,5,1189,1765744,1643,1897
20:59.2,5.4,234.8,13.2,165.5,104298,540,2,15,1783,1766980,1643,1897
21:10.7,5.5,216,10.4,170.8,71346,567,1,5,909,1768257,1643,1897
21:22.3,3.8,221.3,18.5,253.2,72059,767,0,6,944,1769520,1643,1897
21:34.0,5.2,238.1,9.1,191.4,57166,633,0,5,1123,1770781,1643,1897
21:45.9,7.8,243.8,5.2,95.5,117579,760,0,5,615,1772039,1643,1897
21:58.2,4.8,230.3,13,200.4,50092,471,0,5,1153,1773315,1643,1897
22:09.8,5.5,235.1,7.1,173.4,68021,968,3,4,1682,1774592,1643,1897
22:20.1,5.2,221,14.5,182,46070,1121,4,5,1960,1775869,1643,1897
22:30.7,5.8,201.2,10.3,162.9,59360,724,0,5,1342,1777099,1643,1897
22:42.1,5.4,211.1,9,178.6,43177,640,3,5,1251,1778319,1643,1897
22:54.2,4,226.4,12,244.9,78033,735,0,5,939,1779593,1643,1897
23:06.4,5.4,219.6,10.5,173.2,97473,543,0,5,823,1780871,1643,1897
23:18.5,5.5,234.2,11.5,170.9,77019,1000,3,36,1541,1782151,1643,1897
23:40.9,4,236.8,9.8,244.5,64431,888,3,5,1658,1784670,1643,1898
23:51.9,4.2,203,3.8,233.6,65770,521,2,5,1165,1785910,1643,1898
24:02.7,9.2,245.1,3.3,107,46319,725,9,7,1664,1787148,1643,1898
24:13.3,6.1,202.2,9.5,156.7,74599,1269,0,6,1234,1788323,1659,1918
24:24.2,19.5,269,8.9,39,87307,844,1,6,1439,1789421,1659,1918
24:35.5,6.4,228.5,11.7,147.8,47294,894,7,5,2150,1790556,1659,1918
24:46.2,8.9,248.4,9.2,105.6,47653,733,3,18,2206,1791708,1659,1919
24:57.1,5.9,201.9,9.1,161.1,85425,558,0,5,955,1792842,1659,1919
25:08.0,6,217.1,5.5,164,92164,670,5,5,2010,1793985,1659,1919
25:18.7,5.1,205.4,9.6,186.2,104523,497,2,8,1769,1795119,1659,1919
25:29.5,4.6,227.5,26.9,170.4,38798,742,2,5,1588,1796253,1659,1919
25:40.4,5.2,220.3,18.1,181,71464,847,1,6,1431,1797404,1659,1919
25:51.3,6.1,197.8,10.1,155.2,89344,711,3,6,2009,1798554,1659,1921
26:01.8,5.9,201.6,8.1,162,102673,632,0,6,1230,1799706,1659,1921
26:13.2,5.7,261.8,18.8,150.2,106797,791,1,5,1773,1800850,1659,1921
26:25.0,5.5,220.7,14,173,107419,1211,0,6,1299,1802002,1659,1921
26:37.1,7.6,268.2,13.5,123.2,78605,699,0,5,683,1803154,1659,1921
