Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
50:47.4,5.9,267.2,11.5,155.8,125034,6420,3,21,547,1090817,193,219
50:59.8,5.2,257.3,6,190.6,113838,5852,1,5,258,1096869,193,219
51:12.1,4.5,244.2,14.9,212,144754,5142,1,7,259,1102925,193,219
51:24.5,4.9,262.1,20.1,174.1,156247,3015,1,6,341,1109051,193,219
51:37.1,5.1,246.5,13.9,185.7,178209,5169,0,5,320,1115154,193,219
51:49.3,4.8,252.9,9.7,198.5,89840,5341,6,5,591,1121189,193,219
52:00.5,102.5,193.4,87.8,0,32710,1585,2,5,367,1126401,193,219
52:12.4,5.9,172.5,9.5,157.3,240311,2324,3,33,720,1128764,193,219
52:22.4,95.7,188,4.7,5.3,121116,3396,0,6,270,1131944,193,219
52:32.8,6.6,217.9,3.9,149.2,113771,4251,1,6,263,1135816,193,219
