Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
47.5,121.4,82.5,0,99030,37405,22,5,272,637190,157,176
47.5,127.1,84.2,0,117868,42669,19,6,260,642735,157,176
48.2,125.6,84.2,0,129025,44023,19,7,216,648339,157,176
51.7,97.1,71.6,0,98502,47294,30,6,261,654027,157,176
52.5,116.1,78.3,0,105549,42605,14,5,230,659779,157,176
52.1,94.4,73.3,0,76669,15660,12,5,177,662144,157,176
52.7,95.7,75.7,0,93641,15280,8,6,202,664059,157,176
53,94.7,73.8,0,109338,19184,9,6,185,666346,157,176
52,96.5,73.8,0,75989,15583,10,6,195,668349,157,176
50,99.8,77.3,0,106744,24510,15,5,208,671013,157,176
50.1,100.8,78.4,0,94400,19345,13,5,202,673769,157,176
52.8,93.6,71.3,0,95946,21565,14,5,136,676406,157,176
53.4,95.4,72.9,0,84216,18093,14,5,227,678615,157,176
52.9,91.9,71.5,0,82713,13738,11,5,127,680510,157,176
51.6,89.4,65.4,0,89857,16907,14,6,163,682657,157,176
51.8,95.8,74.2,0,159257,21224,9,6,160,685318,157,176
51.5,89.1,69.1,0,123276,16163,5,6,187,687552,157,176
52.9,93.2,71.4,0,116058,20548,12,6,158,689821,157,176
50.4,95.4,73.1,0,66009,17054,26,5,277,692265,157,176
50.8,97.4,76.1,0,98412,15364,10,5,160,694560,157,176
52,101,59.4,0,30567,14352,68,15,1506,696553,157,176
51.6,103.4,69.7,0,45388,15787,44,11,1454,698667,157,176
50.2,95,72.9,0,126676,19176,8,5,206,701006,157,176
51.7,96.9,74.8,0,116020,20080,8,5,196,703654,157,176
52.1,96.6,75.6,0,117737,17919,11,6,152,706148,157,176
51.3,98.4,77.7,0,83570,15878,12,5,172,708400,157,176
51.5,98.4,77.7,0,93001,19283,12,5,174,710960,157,176
50.2,99,77.8,0,97713,18417,11,5,178,713434,157,176
49.9,96.5,75.3,0,53028,15465,16,5,264,715850,157,176
50.9,94.9,72.4,0,121610,18072,13,5,211,718317,157,176
49,95.3,74.9,0,172718,18315,5,6,135,720752,157,176
51.1,99.7,78.6,0,86431,18242,13,5,179,723108,157,176
50.6,96.2,74.2,0,136579,19046,8,5,141,725670,157,176
50.5,97.7,77.7,0,126423,16375,6,6,131,727963,157,176
53.5,90.9,70.3,0,121003,18984,7,5,148,730178,157,176
53.3,83.8,62.4,0,90194,25577,15,5,233,732834,157,176
