Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
44:03.2,54,116.1,66.8,0,0,12027,0,0,1879,1242,20,24
44:04.4,53.5,93.1,57.7,0,44028,9781,37,12,1546,2662,20,24
44:05.6,54.4,90.5,69.7,0,97227,12450,8,5,254,4236,20,24
44:06.7,55.4,88.6,66.8,0,127596,15951,6,5,191,6087,20,24
44:07.9,54.1,94,73.1,0,134462,19417,7,5,188,8410,20,24
44:09.1,53.4,92.1,72,0,117477,23212,9,6,162,10993,20,24
44:10.3,53.3,96.4,75,0,105080,17642,10,5,207,13327,20,25
44:11.5,52.4,95.1,74.2,0,88321,20533,12,5,193,15426,20,25
44:12.7,56.4,89.6,69.4,0,84428,24828,16,6,216,18195,20,25
44:13.9,55.2,88.9,64.7,0,92768,26778,18,5,250,21209,20,25
44:15.1,53,93.8,73.2,0,124664,18944,10,5,162,23812,20,25
44:16.3,52.3,96.4,75.7,0,139031,18855,8,5,162,26016,20,25
44:17.5,52.9,92.5,68.9,0,78990,22274,18,5,235,28635,20,25
44:18.7,52.3,95.5,73.7,0,81768,18299,13,5,254,31298,20,25
44:20.0,51.5,96.4,74.4,0,54686,20381,22,6,211,33791,20,25
44:21.2,51.8,96.1,74.2,0,92395,21200,15,8,200,36434,20,25
44:22.4,52.7,94.3,73.9,0,123426,22443,11,5,224,39210,20,25
44:23.6,54.1,93.4,73.2,0,69821,25883,22,5,244,42288,20,25
44:24.8,55.5,89,65.9,0,112546,31082,11,5,212,45673,20,25
44:25.9,55.9,90.7,69.1,0,71763,25181,19,6,273,48871,20,25
44:27.1,51.4,96.8,74.9,0,108467,24094,14,5,193,52134,20,25
44:28.3,53.7,68.5,37.4,0,99607,23502,18,6,228,55122,20,25
44:29.5,53.7,92,68.6,0,95336,25666,18,5,209,58209,20,25
44:30.7,53.9,93,71.3,0,99150,28797,15,5,242,61623,20,25
44:31.9,54.1,86.7,61.7,0,103399,31695,16,6,276,65679,20,25
44:33.1,52.6,94.2,74.6,0,101196,26615,13,5,214,69153,20,25
44:34.3,53.3,91.5,66,0,98005,34447,18,5,277,72490,20,25
44:37.0,60.7,79,62,0,26647,783,5,5,290,74230,20,25
44:38.2,60.1,69.7,50.9,0,60555,9848,10,5,200,75318,20,25
44:39.3,60.6,73.2,54.6,0,70632,10482,11,6,265,76643,20,25
44:40.3,58,71.4,53.5,0,113072,8365,8,5,188,77822,20,25
44:41.4,60,71.8,53.7,0,85133,9352,9,5,299,79006,20,25
44:42.5,60.1,72,53,0,106877,9595,5,5,129,80236,20,25
44:43.5,60,72.8,52.7,0,121605,10100,5,5,184,81494,20,25
44:44.6,60.1,71.4,50.1,0,76605,9376,11,5,285,82678,20,25
44:45.7,59.8,71.7,53.3,0,52283,8153,11,5,210,83832,20,25
44:46.7,60.2,71.8,54.6,0,115026,8368,4,6,176,84931,20,25
44:47.8,55.8,73.7,55.2,0,108339,12248,8,5,200,86132,20,25
44:49.0,50.5,100.9,77.3,0,96238,38769,25,6,318,89612,20,25
44:50.3,45.3,117.7,85.9,0,80731,34451,21,6,271,94674,20,25
44:51.7,45.7,120.9,87.1,0,87983,31463,15,6,248,99019,20,25
44:53.1,45.7,119.4,86.8,0,72804,28967,20,5,227,103125,20,25
44:54.5,45.5,125.5,87.7,0,94058,27745,14,5,230,106912,20,25
