Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
53:52.9,13.9,108.8,2.7,69.5,125247,12317,5,5,282,2362001,251,305
53:58.5,14.8,106.2,4.7,58.6,111012,9903,6,5,339,2368145,251,305
54:04.0,10.5,106.5,5.1,84.2,114888,9581,4,5,258,2374289,251,305
54:09.2,12.6,100.8,4.3,69.5,117041,10789,5,8,530,2380433,251,305
54:14.3,12.5,102.2,4.4,71.3,129715,12388,4,5,273,2386577,251,305
54:19.5,11.8,105.7,5,76.2,109931,9866,5,6,295,2392721,251,305
54:24.7,11.8,101.5,4.3,76.3,146841,13271,3,6,506,2398865,251,305
54:30.0,12.1,106.3,4.6,73.2,95323,11496,6,5,349,2405009,251,305
54:35.1,14,110.7,5.2,62.4,120872,13424,4,4,265,2411153,251,305
54:40.2,12.1,106.9,5,68.6,117264,11296,4,4,248,2417271,251,305
54:45.4,13.6,104,4.9,64.5,156542,12626,4,5,245,2423419,251,305
54:50.6,12.1,101.4,4.8,72.5,167194,10227,2,6,338,2429570,251,305
54:55.8,12.7,106.9,4.6,67.7,145526,10719,3,5,331,2435764,251,306
55:01.1,11.1,101.5,5.1,79.9,117118,12758,5,5,252,2441960,251,306
55:06.5,11.3,111.5,4.7,79.5,120064,11729,4,5,289,2448119,251,306
55:12.0,11.9,108.7,5,75.5,119307,12970,4,5,399,2454265,251,306
55:17.6,11.4,104.1,5.2,79.4,135011,11422,3,5,238,2460409,251,306
55:23.1,11.8,110.5,4.8,75.8,125578,10431,3,5,223,2466553,251,306
55:28.5,11.7,110.3,4.3,77,150597,12280,3,5,245,2472697,251,306
55:34.2,12,120.9,5,69,82408,13920,17,16,602,2478841,251,306
55:39.6,11.4,85.2,4.3,78.4,137820,11123,3,5,250,2484995,251,306
55:44.7,12.2,106.9,4.3,69.9,115625,13395,5,5,325,2491155,251,306
55:49.9,12.2,109.5,6.3,69.7,115426,10214,4,4,253,2497301,251,306
55:55.1,12,105.4,5.3,72.7,140671,12606,4,5,236,2503445,251,306
56:00.3,12,115.4,5.3,73.1,79952,12864,14,9,555,2509589,251,306
56:05.6,11,109.3,5,82.1,116897,11963,5,5,350,2515733,251,306
56:11.0,12.9,102.9,4.6,69.2,155968,10246,2,5,247,2521878,251,306
56:16.3,12.2,88.3,4.8,71.5,144601,10895,3,5,261,2528022,251,306
56:21.6,12.3,104.2,4.3,72.8,107882,11087,5,4,266,2534167,251,306
56:26.9,19,168.5,33.1,0,48397,10443,33,19,1009,2540262,296,354
56:32.2,11.6,103.7,4.6,75.6,124380,9696,3,6,299,2546140,296,354
56:37.5,11,106.4,5,81.9,131453,9546,4,5,256,2552023,296,354
56:42.8,13,93.9,5.3,68.4,152336,10974,2,5,195,2558114,296,354
56:48.1,12.2,106.4,4.5,73.5,136774,10205,3,6,250,2564259,296,354
56:53.3,12.4,107.9,4.4,71.9,131777,11419,4,5,251,2570410,296,354
56:58.7,12.3,105.3,4.5,73.5,128374,12403,3,6,248,2576553,296,354
57:04.0,11.9,95.8,4.3,75.4,115722,10197,5,5,255,2582699,296,354
57:09.3,10.8,97.7,4.9,79.4,129479,9266,4,5,244,2588843,296,354
57:15.2,13.5,110.8,4.5,65.4,119620,10945,7,5,360,2595246,332,393
57:20.5,13.2,108.6,4.4,66.7,136866,10317,4,5,260,2602124,332,393
57:25.8,12,104.5,5.2,74.9,116267,11593,4,5,254,2607997,332,393
57:31.2,11,122.1,4.2,81.4,140011,8792,9,18,824,2614867,359,423
57:36.1,13.6,99.4,4.6,63.8,129216,10725,3,5,252,2621430,359,423
57:41.1,9.8,105.9,5,94.5,140160,12555,3,5,225,2627389,359,423
57:46.9,11.2,110.9,4.9,80.6,134810,9673,3,5,242,2633537,359,423
57:52.5,11.2,107.8,4.6,77.9,155142,10453,3,5,205,2639686,359,423
57:58.3,12.3,118,4.6,71.7,155644,11478,2,5,186,2645832,359,423
58:04.1,10.6,110.6,4.7,85.5,138108,11561,3,5,231,2651976,359,423
58:09.7,12.3,115.7,5.3,66.7,154504,10500,3,5,322,2658114,359,423
58:15.4,14,118.2,5.3,62,162575,10961,2,5,194,2664263,359,423
58:21.1,10.2,109.9,4.6,89.6,167648,9547,2,5,213,2670406,359,423
58:26.7,11.1,112.8,6.6,77.5,117700,9411,3,4,258,2676550,359,423
58:32.3,11.7,111.3,5.1,73,125630,10746,3,5,256,2682693,359,423
58:37.8,11.7,101,5.3,75.7,137399,11228,3,5,232,2688837,359,423
58:43.1,12.2,104.5,4.4,72.6,171108,10269,3,5,194,2694978,359,423
58:48.5,10.4,101,4.6,87.4,148635,11863,2,5,206,2701123,359,423
58:54.2,12.5,105.7,4.5,70.9,128364,10843,3,5,246,2707259,359,424
58:59.6,10,98.7,4.7,93,140389,9735,4,4,207,2713398,359,424
59:04.8,12.9,107.6,5.1,68.3,117021,10599,5,5,432,2719517,359,424
59:10.1,12.4,103,5,69,176883,10368,2,5,223,2725630,359,424
59:15.5,12.5,108.8,4.8,66.2,153861,11921,2,4,224,2731761,359,424
59:21.0,11.3,113.7,4.6,78.5,135687,10174,3,5,244,2737891,359,424
59:26.8,10.6,115.6,5,85.3,153346,13002,2,5,199,2744027,359,424
59:32.9,13.3,148.6,9.6,64.5,71758,10627,20,18,1132,2750033,404,475
59:38.9,11.9,123.5,5,72.1,128589,8081,3,5,246,2755897,404,475
59:45.1,10.3,128.4,5,76.6,131408,8194,3,5,240,2761784,404,475
59:51.3,12.2,127.6,6,72.6,145772,8438,2,5,220,2767928,404,475
59:57.5,14.7,106.6,5.3,57.9,152082,12411,3,6,225,2774072,404,475
00:03.6,9.8,123.5,5.2,94.4,161930,8037,2,5,413,2780212,404,475
00:09.5,10.3,119.1,4.6,87.6,144879,8542,3,5,229,2786352,404,475
00:15.5,8.5,117.5,4.3,110.4,154245,10527,2,5,218,2792496,404,475
00:21.8,12.5,124.3,5,70.1,146175,8942,2,5,223,2798638,404,475
00:28.1,10.8,135.7,6.2,84.1,100694,8670,9,13,897,2804784,404,475
00:34.3,11.9,115,4.9,74,152799,11175,3,5,236,2810929,404,475
00:40.1,11.3,115.1,5.2,77.9,138840,8904,2,6,209,2817072,404,475
00:46.2,10.2,119,5,86.6,171182,8390,2,6,213,2823217,404,475
00:52.3,10.4,119.8,4.9,81.7,114362,8621,4,5,218,2829362,404,475
00:58.4,10.4,121,5,86.8,134265,8622,3,5,208,2835511,404,475
01:04.3,9,118.4,5.5,99.9,133355,8694,3,5,237,2841654,404,475
01:10.1,11.3,114.7,4.8,80.4,166297,9063,3,5,247,2847790,404,475
01:16.0,10,115.2,4.8,90,149476,10451,3,5,224,2853921,404,475
01:22.3,9.6,118.2,4.5,96,136169,8455,3,5,200,2860064,404,475
01:28.3,11,116.1,4.3,81.3,146730,10237,2,5,220,2866194,404,475
01:34.6,10,117.6,4.8,89.8,146324,8464,3,7,279,2872336,404,475
01:41.3,9.4,135.9,4.9,97,125373,8234,2,5,218,2878482,404,475
01:47.8,9.1,122.6,4,100.9,107087,10268,4,4,257,2884627,404,475
01:53.8,10.9,111.1,4.4,81.1,147598,11075,3,6,208,2890766,404,475
01:59.9,12.4,127,4.9,71.1,130199,9412,3,5,236,2896911,404,475
02:06.5,9,133.7,5.3,100.2,119365,6949,2,5,275,2903057,404,475
02:13.1,10.3,132,14.8,64.6,139937,9251,3,5,215,2909201,404,475
02:19.2,10.9,122.3,6.8,80.1,147324,10946,3,21,661,2915354,404,475
02:25.6,9.3,132.5,4.6,95.5,131178,8796,3,6,229,2921499,404,475
02:31.9,12.1,122.3,5,68.8,127779,12916,3,5,235,2927636,404,475
02:38.2,10.6,125.4,4.9,87.1,159686,7644,2,5,226,2933714,459,533
02:44.7,9.9,118.7,4.7,89.3,157143,7616,2,5,207,2940049,477,554
02:51.3,9.8,125,5,92.4,120618,6742,3,6,217,2946142,477,554
02:57.7,9.9,125.7,4.9,90.9,142555,8019,2,5,210,2951978,477,554
03:04.2,11.7,124.8,5.1,76.5,136233,8448,3,4,217,2958116,477,554
03:10.1,11.8,119.5,5.1,75.9,168064,10050,2,5,190,2964256,477,554
03:16.2,10.4,123.5,5.6,85.6,140586,9949,2,5,210,2970397,477,554
03:22.5,10.8,124.9,5.6,81.1,157666,10485,3,4,179,2976544,477,554
03:28.5,10.9,116.2,5.7,82.2,146254,9386,3,5,239,2982688,477,554
03:34.4,11,116,5,81.9,154340,8970,2,6,229,2988832,477,554
03:40.5,9.5,132,6.1,78,147530,7612,4,5,292,2996571,534,614
03:46.8,10.4,120.2,3.4,92.6,137701,7622,2,4,211,3003249,534,614
03:52.9,9.4,120.8,4.7,95.4,127142,7491,3,5,215,3008859,534,614
03:58.9,11.3,114.6,4.1,80.5,128251,9664,3,5,251,3014923,534,614
04:05.1,11.6,123.8,4.5,76.1,172522,10391,2,5,206,3021059,534,614
04:11.3,14.3,135.7,6.1,55.2,129264,11119,7,5,310,3027200,534,614
04:17.1,11,113.4,4.7,80.2,154075,8965,3,5,276,3033340,534,614
04:23.1,10.2,116,5,87.1,157920,9232,2,5,221,3039480,534,614
04:29.3,10.3,115.8,4.6,87.3,166526,9463,2,5,193,3045625,534,614
04:35.4,8.6,83.4,4.1,108.4,153114,6987,2,5,207,3051770,534,614
04:41.7,13.4,153.8,15.9,49.4,85123,9352,17,12,515,3057910,534,614
04:48.2,9,123.3,5,101.7,165666,7837,3,5,356,3064562,573,654
04:54.6,12.1,118.9,4.3,73.1,138459,9665,3,5,217,3071052,573,654
05:01.1,9.3,133.5,8,98,130633,9324,4,5,307,3076861,573,654
05:07.2,10.8,111.7,6.6,83.6,136455,10715,3,4,224,3082660,573,654
05:12.9,9.9,110.1,5.2,90.6,143086,11438,3,5,218,3088809,573,654
05:18.6,11.4,118.8,4.6,78.8,121139,9430,4,5,230,3094942,573,654
05:24.8,13.3,126.2,11.5,26.9,122162,7506,3,5,249,3100847,581,665
