Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
28:49.9,15.3,56.8,2.6,52.9,60434,22192,22,6,458,932613,602,685
28:52.2,190.2,55.9,2.2,3,59312,20354,28,8,466,937396,602,685
28:54.5,120.7,88.8,2.4,5.6,33123,21341,65,55,1113,942223,602,685
28:56.5,32.5,105.4,43.1,0,19498,13371,59,21,1313,945380,602,685
28:58.7,18.8,41.5,2.3,51,47336,9352,12,22,1119,947474,602,685
29:00.8,21.9,42.8,2.8,43.3,51108,11641,21,7,479,949753,602,685
29:02.8,19.5,39.5,2.7,49.4,52215,13473,15,7,367,952543,602,685
29:04.8,17.1,53.4,3.2,47.9,74677,17045,20,20,417,955954,602,685
29:07.0,15.4,61.6,3.1,58.3,30777,14881,28,7,436,959443,602,685
29:09.1,15.8,45.7,2.6,60.5,48030,15842,29,8,468,962927,602,685
29:11.3,16,91.7,4.7,58.5,40883,7120,71,38,1088,965541,602,685
29:13.1,115.7,49.6,2.2,6,33289,7230,16,11,592,967086,602,685
29:15.0,17,44.2,2,49.8,41367,9421,23,8,317,968857,602,685
29:16.8,416.6,50.1,2,0,53107,14078,14,7,324,971177,602,685
29:18.8,104.9,53.6,4.1,7,39012,11964,24,7,337,974305,625,719
29:20.8,171.3,51,3.1,3.3,85397,10871,18,9,283,977186,632,735
29:22.7,158.8,51.3,2.9,3.6,39723,15055,21,7,329,980025,632,735
29:24.6,179,60.9,2.7,3.2,46850,16026,22,15,368,982957,632,735
29:26.5,31.1,64.4,5.6,0,45965,19338,29,15,395,986315,632,735
29:28.4,298.1,54.1,2.8,1.1,45914,16535,24,11,464,989942,640,745
29:30.4,131.4,85.7,2.7,5.4,26663,7688,71,10,1002,993024,640,745
29:32.3,18.1,49.2,2.2,41.9,28281,11033,22,14,601,995167,640,745
29:34.2,19.2,52.7,2.9,39.4,36318,12776,21,10,411,997501,640,745
29:36.2,21.6,54,2,38,34171,15159,24,10,476,1000203,640,745
29:38.1,16,47.7,2.3,51.7,48321,16840,27,6,436,1003400,640,745
29:40.1,15.2,49.5,3.1,54.9,62848,17304,19,8,361,1006874,640,745
29:42.1,99.3,56.3,2.6,7.3,63453,19359,18,9,481,1010858,640,746
29:44.3,78.2,56.4,2.3,9.9,64868,23046,21,7,426,1015410,640,746
29:48.6,132.6,58.4,3.1,5.1,87323,6507,10,30,504,1022709,655,763
29:50.8,99.2,56,2.9,7.1,42647,7257,11,7,606,1024649,655,763
29:53.2,13.6,58.7,3.1,70.1,30521,8990,20,7,455,1026720,655,763
29:55.3,16.7,53.7,2.2,51.7,48225,10112,13,10,570,1029033,655,764
29:57.5,16.4,58.2,2.5,56.6,31632,10657,24,9,629,1031455,655,764
29:59.6,17.7,57.3,2.7,49.5,33629,10903,22,8,553,1033883,655,765
30:01.7,88.2,62.2,2.9,8.8,33972,10397,22,7,538,1036320,655,765
30:03.9,173.1,63.2,3,3.7,29655,10142,23,9,650,1038754,655,765
30:06.1,148.9,56.1,2.5,4,41008,13894,21,7,525,1041570,655,765
30:08.2,105,59.3,3,7.1,72318,13297,18,7,544,1044527,655,766
30:10.3,221.3,85.4,2.3,1.8,25323,8039,64,7,1138,1047334,661,774
30:12.5,15,84.9,4.5,51,10471,5990,66,23,977,1049233,661,774
30:14.7,16.1,47.4,2.2,50.2,33561,5328,14,7,789,1050732,661,774
30:16.8,17.5,52.3,2.3,50.7,30373,5734,19,8,880,1052252,661,774
30:19.0,17.2,51.1,2.4,51,32168,7007,12,7,360,1053796,661,774
30:21.1,22.6,63.9,3.3,41.9,22289,8785,29,8,620,1055625,661,774
30:23.3,53.7,60.1,3.8,16.1,57466,9321,17,7,530,1057666,661,774
30:25.5,80.3,61.2,2.5,9.7,34731,11110,24,8,640,1060383,661,774
30:27.7,129.7,84,3.1,5.4,10294,6669,59,27,580,1062800,661,774
30:29.8,396.6,63.9,3,0,23602,2840,13,24,1079,1063921,661,775
30:32.0,104.8,52.3,3.1,7.1,24398,2683,9,10,703,1064861,661,775
30:34.2,16.7,37.6,2.5,57.9,48840,4240,8,7,530,1065883,661,775
30:36.3,66.2,55.4,2.9,12.7,26381,6954,21,7,516,1067441,661,775
30:38.2,17.9,50.2,2.2,47.6,29598,9125,19,7,527,1069463,661,775
30:40.1,23,52,2.7,41.3,32261,11656,27,7,750,1071748,661,775
30:42.1,21.7,58.8,4.3,29.6,52600,12906,25,8,651,1074284,661,775
30:44.0,22.6,56,2.1,39.5,27625,12829,37,9,572,1076909,661,775
30:46.0,35.6,53.9,2.3,23.7,40401,14849,27,7,597,1079945,661,775
30:48.0,160.2,56.8,2.3,3.8,37028,13216,23,9,609,1083008,661,775
30:50.1,176.9,58,2.3,3.4,43612,13605,24,7,665,1085836,661,775
30:52.1,18.5,53.8,2.2,42,31974,12831,24,9,528,1088657,661,776
30:54.3,15.1,82.4,2.8,54.9,20336,10916,72,9,477,1091501,661,776
30:56.4,16.2,54.9,2.5,55.6,67938,8913,13,17,483,1093796,661,776
30:58.6,23.5,61.5,2.3,40.5,18845,7329,35,6,669,1095711,661,776
31:00.7,15.3,55.3,2.4,53.9,30118,10971,22,6,477,1097932,661,776
31:02.8,19.4,53.8,3,39.9,44398,12955,19,9,514,1100559,661,776
31:04.8,17.6,51.8,1.8,49.8,39025,8515,20,7,547,1103251,674,792
31:06.9,18,53,2.3,50.1,113852,6616,9,16,584,1105703,674,792
31:09.0,18.7,50.5,2.8,46.2,41923,8259,14,7,374,1107484,674,792
