Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
59:04.9,32.6,126.3,5.8,23.1,13446,3920,33,11,947,1172114,1178,1702
59:09.0,16.6,86,4.2,53,62374,3452,4,6,361,1173990,1178,1702
59:13.2,15,86.9,4.7,58,83673,4098,3,7,251,1176130,1179,1705
59:17.4,13.9,87.6,5.2,64.5,61690,3798,3,6,235,1178369,1179,1705
59:21.5,13.7,87.4,5.1,63.3,70025,4019,4,7,224,1180628,1179,1710
59:25.7,15.6,85.6,2.9,61.3,53434,3786,6,8,433,1182881,1189,1725
59:29.7,15,90.7,4.5,58.8,61851,3715,3,6,254,1185159,1189,1727
59:33.8,15.3,88,5.1,57.6,115103,4215,1,6,220,1187494,1195,1745
59:38.0,14.9,89.3,4.4,58.6,79441,4504,3,6,260,1189896,1195,1745
59:42.1,17.3,87.1,4.5,50.7,38528,2627,7,7,508,1192175,1221,1797
59:46.2,15.9,112.1,4.2,50.9,67387,2369,27,22,809,1194101,1229,1817
59:50.3,14.3,87,5.7,60.7,53006,2214,4,8,470,1195900,1236,1832
59:54.6,15.1,96.4,5.1,58.7,66885,2229,2,6,281,1197745,1236,1832
59:59.0,15.2,98.8,4.8,56.1,35310,1751,4,6,295,1199486,1243,1845
00:03.4,14.6,92.4,3.9,60.4,105326,2073,2,6,280,1201022,1243,1845
00:07.9,12,147.9,4.6,73.7,16784,2085,48,23,1045,1202588,1243,1845
00:12.1,13.5,93.7,4.5,63.4,61154,2271,2,6,412,1204163,1243,1845
00:16.5,14.7,93.6,4.5,60.4,62237,2776,3,6,295,1205844,1243,1845
00:20.7,16.1,95.2,5.1,51.4,64678,3204,2,6,234,1207457,1247,1849
00:25.1,15,94.6,5,55.1,55053,3441,3,6,308,1209183,1247,1849
00:29.4,12.6,93.6,4.2,71.5,56852,3363,3,6,277,1211167,1247,1849
00:33.8,15.6,97.6,5,56.4,54403,2606,4,6,275,1213133,1252,1856
00:38.3,14.6,111.2,4.2,59.6,52312,2682,5,25,575,1214909,1252,1856
00:42.6,16.1,95.5,4.2,52,33784,2770,10,6,740,1216672,1252,1856
00:46.9,15.5,93.6,4.5,54.4,40362,3382,6,6,295,1218446,1252,1856
00:51.2,14.3,99.2,6.1,57.4,47026,2941,4,6,368,1220446,1252,1856
00:55.6,14.4,96.6,7.6,57.2,52044,3632,4,6,264,1222618,1260,1870
01:00.0,14.3,98.7,5.4,61.2,43884,3571,7,5,382,1224900,1260,1870
01:04.5,15.6,97.4,5.2,54.8,72537,3547,4,5,254,1227155,1260,1870
01:08.9,15,99,5.6,58.4,51259,3601,4,8,365,1229431,1261,1880
01:13.3,14.8,95.2,4.9,58.2,48749,3323,4,6,345,1231697,1261,1880
01:17.7,15,93.7,4.5,58.3,75780,3900,2,6,328,1233905,1261,1880
01:22.1,13.1,96.8,3.7,68.5,61844,3971,5,8,807,1236165,1261,1880
01:26.6,14.4,93.4,5,56.3,43057,3747,5,7,345,1238440,1261,1880
01:30.8,15.6,95.9,4.4,55.2,57290,4704,5,8,314,1240618,1261,1880
01:34.9,16.1,87.6,3.7,55.2,95723,4272,3,8,295,1242902,1266,1892
01:38.8,14.4,94.5,4,62.3,79625,3813,3,6,269,1245169,1266,1892
01:43.0,14.7,92.5,4.4,60.5,95200,4062,2,15,615,1247387,1266,1892
01:47.2,15,93.3,4.7,58.2,81376,3616,3,6,210,1249537,1266,1892
01:51.5,15.4,87.7,4.4,57.9,84472,4212,3,5,263,1251824,1266,1892
01:55.6,13.7,95.1,8.8,64.3,59436,4483,5,6,229,1254134,1266,1892
01:59.8,14.3,94.4,4.8,62.2,80861,4190,5,21,1012,1256414,1277,1903
02:04.0,15.3,91.9,4.6,58.2,94731,3558,2,5,265,1258773,1277,1903
02:08.3,14.5,90.5,4.5,60.3,33704,3639,9,6,401,1261271,1277,1903
02:12.6,14.7,94.1,4.3,60.6,77170,4485,4,7,243,1263757,1277,1903
02:16.8,17.7,91.4,3.9,47.2,70928,6679,4,6,259,1266227,1277,1903
02:21.0,14.2,86.3,4.1,61.4,110564,4187,2,6,226,1268879,1288,1915
