Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
55.7,95.2,3.1,14.6,5248,1030,31,31,3233,109327,81,261
131.7,106.2,5,0,9563,846,26,41,2296,113929,81,261
14.5,79.8,5,58.5,7524,555,19,34,2840,117917,81,261
15.1,88.5,5.1,58.4,3920,686,38,37,3679,118259,81,261
20.1,102.6,4.6,39.2,3508,615,33,47,3807,122112,81,264
20,93.6,4.5,40,4498,686,30,34,2593,122442,81,264
18.5,83.9,3.3,50.3,7612,659,22,36,4019,122791,81,264
16.4,82.3,3.3,57.1,3446,610,33,34,2590,123108,81,264
15.9,82.9,4.6,57.4,5327,642,20,37,2914,123446,81,264
13.1,88.8,4.5,67.8,10209,629,25,35,2676,123793,81,264
17.3,87.6,4.2,48.7,5739,592,17,36,2512,124114,81,264
17.2,85.6,6.3,49.8,4253,669,23,36,2541,124440,81,264
15.3,124,5.3,58.5,1658,484,75,42,4910,124737,81,264
16.9,98.4,5.2,49.7,8479,512,25,47,5021,125034,81,264
17.9,81.6,4.4,47.9,5664,551,17,36,3637,125334,81,264
20.1,86.1,5.2,42.1,4285,475,23,37,3713,129569,81,264
20,78.3,3.6,46.9,4452,526,24,33,3520,129857,81,264
20.4,85.4,7.4,35.8,4561,621,27,32,2510,130151,81,264
23.6,86.8,5.7,33.2,4354,647,26,33,2540,130450,81,264
11.9,85.6,3.6,72.7,8144,1212,21,35,2080,141814,81,265
19,82.1,4.3,44.8,6528,1199,20,31,2043,142220,81,265
18.5,85.7,2.6,51.2,13681,1062,16,43,1638,142603,81,265
16.3,90.4,3.7,56,5836,1158,27,33,1972,143011,81,265
17.8,86,4.7,47,5628,1029,22,31,2300,143397,81,265
18.9,86.7,3.3,48.6,4497,1128,28,33,2033,143781,81,265
18.6,81.5,3,50.7,9736,1134,19,36,2496,144164,81,265
22.4,85.7,3,40.4,5563,1049,30,34,2243,144550,81,265
23.7,94.4,4.4,33.6,4686,986,32,37,3264,144933,81,265
17.8,85,3.5,52.6,7474,1017,17,36,2054,145318,81,265
11.6,87.5,4.8,74.8,5882,1079,24,35,2528,145716,81,265
17.6,92.6,3.4,52.6,5285,1887,38,38,3188,146134,81,265
23.1,88.9,5.8,38.1,5257,1172,32,35,3415,146524,81,265
19.8,93.8,2.6,47.5,6248,1067,30,36,2221,146910,81,265
21,88.5,3,44.6,4737,1118,29,35,2342,147294,81,265
12.6,85,2.8,75.9,6522,988,32,36,1541,147678,81,265
15.5,83.8,2.9,60.9,21374,1035,17,35,1883,148062,81,265
13.7,91.6,5,62.4,6920,1434,36,37,2949,153091,81,266
21.8,91.4,3,43.2,3511,754,41,38,2783,153454,81,266
19.2,88.6,4.8,41.8,7713,562,13,44,2748,153766,81,266
17.1,90.8,3.4,55.2,3465,600,31,37,3232,154079,81,266
16.2,85.6,3.6,57.2,6143,622,24,35,4079,154387,81,266
18.4,100.2,5.5,33.5,1932,685,77,49,3991,154726,81,266
17.4,123.6,6.5,47.5,3760,1050,81,50,5303,155103,81,266
348.7,118.5,8.9,0,3737,798,34,51,4832,155464,81,266
18.2,88,2.8,52.8,4495,798,42,34,2463,155802,81,266
16.4,81.9,3.2,58,6238,561,21,33,1785,156135,81,266
20.8,80.6,4.1,45.2,9156,727,15,33,3522,156444,81,266
12,84.7,2.6,80.8,4413,1056,54,34,3519,156784,81,266
21.5,93.9,2.8,43.4,3606,726,39,40,3178,157145,81,267
18.7,80.2,3.5,49.6,6559,839,17,41,3040,157495,81,267
18.4,76.7,2.6,51.6,14131,858,9,34,2074,157815,81,267
17.3,119.8,4.7,46.9,15275,1435,41,57,3463,158221,81,267
11.2,97.2,3.1,86.3,24551,496,44,50,4164,158562,81,267
18,95.3,5.8,41.6,5253,652,24,35,2921,158875,81,267
20.1,92.9,2.9,46.8,5029,587,28,33,4018,159185,81,267
19.3,92.5,4.7,43.8,5526,970,39,44,2804,162745,81,267
18.7,96.7,2.7,49.5,4569,1267,46,33,5155,163129,81,267
18.7,88.4,4.8,46.6,5660,1061,23,35,2397,163531,81,267
18.6,93.2,3.2,50.6,4544,1134,32,46,3086,163937,81,267
28.9,94.2,3.2,31.6,6159,1037,21,39,2722,164323,81,267
19,83.8,3.2,49.7,4951,1104,25,35,2819,164706,81,267
16.7,92.3,3.1,57,3997,992,32,36,2661,165091,81,267
20.8,120.8,3.2,41,2627,1068,78,47,4443,165475,81,267
66.4,129,5.7,1.6,3601,1170,79,51,5495,165863,81,267
14.8,108.6,3.4,63.3,5836,1002,72,55,5490,166253,81,267
66.3,108,9.5,0,3700,1104,34,59,4551,166635,81,267
16.6,79.6,3.5,57,16340,1189,20,35,2029,171683,81,268
11.5,85.2,3.3,81.6,4369,843,60,39,2993,172069,81,268
82.7,113.9,2.8,9,3692,912,72,38,2933,172459,81,268
287.6,105.6,3.4,0,3382,751,31,37,2810,176976,81,268
19.4,86.2,3.2,44.9,3658,622,26,34,3895,177265,81,268
15.4,95.9,2.4,62.4,5104,611,44,37,3717,177575,81,268
15.9,84.5,3.3,59.2,5177,1024,27,33,2395,178963,81,268
19.8,91.8,8.5,34.9,3584,1115,32,36,1946,179347,81,268
52.1,105.9,2.9,15.7,3458,879,57,31,3026,179731,81,268
19.3,89.8,4.4,49,5434,1019,22,39,2752,180117,81,268
20.2,92.4,2.4,46.5,5417,1108,24,39,2190,180502,81,268
19.5,89,3.7,48.1,5416,982,25,34,2281,180888,81,268
11.9,107.6,3.4,81.3,3408,876,72,57,4355,181274,81,268
18.9,99.8,3.4,49.9,6491,1051,31,48,4359,181694,81,268
19.6,86.6,3.9,47.2,3857,961,34,54,3913,183997,81,269
19.2,85.2,3.2,48.1,5324,1039,24,35,2156,184381,81,269
12.5,85.8,3,77.3,5742,997,24,48,3369,184780,81,269
19.1,84.6,5.1,41.1,6097,1001,23,32,2008,185164,81,269
21.5,89.4,3.1,42.2,5408,1070,33,37,2143,185548,81,269
205.3,124.9,4.2,1.7,6390,949,46,46,2756,185932,81,269
14.8,126,13.2,39.9,2414,1094,73,52,4962,186317,81,269
19.2,96.5,3,49.6,3126,1166,43,43,3139,186721,81,269
11.5,90.1,3.6,83.8,3513,837,54,43,2279,187105,81,269
16,85.9,3.7,54.9,8340,952,19,37,2227,187490,81,269
16.5,94.3,3.7,57.7,8735,1079,20,46,3151,187876,81,269
30.1,111.7,4.5,25.6,7515,977,39,35,3913,188260,81,269
17.6,87.3,3.3,54.1,5742,1080,22,34,2248,188645,81,269
16.2,95.6,4.4,53.6,3478,1025,36,36,3166,189033,81,269
13.9,89.6,5.1,63.9,11946,942,15,39,2680,189423,81,269
19.7,96.2,5.4,41.2,10065,1370,18,43,2157,189831,81,269
20.7,91.7,5.1,39,4749,983,25,33,2195,190217,81,269
19.9,89.3,4.3,46.7,6462,1103,18,37,2371,190601,81,269
15.5,90.1,5.1,56.3,5223,898,26,33,2170,190985,81,269
16.5,88.8,5.7,51,5951,908,23,37,3338,191367,81,269
16.2,90.4,5.6,53.3,7028,1022,18,36,2914,191753,81,269
16.3,91.3,4.5,53.5,4437,1050,30,32,3101,192147,81,269
19.4,93.6,5.8,40.6,3690,915,40,33,2978,192541,81,269
11.2,107.1,2.7,86.5,3982,1135,89,33,3144,192975,81,269
20.7,111.9,13.9,16.2,4055,1153,45,53,3966,193403,81,269
14.3,83.8,3.7,66.6,7499,965,22,35,2464,193803,81,269
22,84.7,5,35.6,5811,1226,24,39,2618,194188,81,269
18.4,96.5,5.3,45.4,6652,1088,23,44,2231,194571,81,269
54.8,134.3,7.7,7.6,1814,917,91,52,5559,194961,81,269
70.6,132,7,2,30948,543,33,49,5946,195262,81,269
30.2,117.4,3.6,29.5,18426,511,43,57,5953,195571,81,269
18.2,91.8,3.3,51.4,2936,553,39,43,3342,195861,81,269
16.3,88.4,5.8,50.1,4385,566,21,37,2906,196157,81,269
17.7,82,5.7,48.7,6576,560,17,35,3109,199869,81,269
17.1,88.6,4,55.3,3622,504,26,31,2722,200159,81,269
