Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
28.1,106.9,5.4,26.1,39833,12573,20,6,460,632389,320,357
17.4,103.4,4.2,48.9,114994,11118,14,15,818,636712,320,357
20.8,98.4,4,39,43287,10095,13,6,347,640757,320,357
13,89,4.1,69.6,88327,8575,5,6,313,644291,320,357
64.3,120.4,3.9,7.7,62715,13352,29,5,671,648870,320,357
16.6,93,4.9,53.4,67899,12773,9,6,298,654287,320,357
16.2,89.5,4.3,54.8,89584,12730,7,16,694,658849,320,357
14.3,93.5,4.2,62.6,99023,13791,7,5,308,664193,320,357
15.9,98.1,4.7,55.9,83650,14072,9,6,299,669899,320,357
14.9,100.9,5.2,59.3,66261,13347,12,6,326,675145,320,357
14.3,94.2,4,62.7,86718,12568,7,6,315,681022,320,357
14.6,96.1,4.3,61.9,81391,16946,11,5,412,686824,320,357
14.6,93.3,4.3,59.6,98037,15444,8,5,336,692917,320,358
14.9,144.5,36.6,44.7,44647,18302,50,30,678,699062,320,358
15.5,88.8,2.8,61.7,95129,9951,4,10,527,703506,320,358
16,94.6,4.7,54.5,73270,10204,8,5,335,707284,320,358
16.6,90.8,4.2,51.8,81473,14015,6,5,295,711914,320,358
14.7,96.9,3.8,60.3,100592,14414,7,6,380,717520,320,358
15.2,92.8,4.2,58.2,93565,14765,8,5,305,723598,320,358
15.8,95,4.5,55.1,111925,15781,6,5,294,729633,320,358
17.1,90.7,3.7,47.9,96580,14125,9,5,386,735520,376,417
39.6,141.2,17.3,0,133123,12444,12,18,1056,740902,376,418
14.3,87.4,3.9,62.5,71080,9514,8,6,831,744884,418,462
15.5,89.7,4.7,56.5,85607,9123,4,5,292,748220,418,462
16.5,94.8,4.6,52.6,70845,9444,5,6,282,751755,418,462
18.2,92.3,5.3,47.4,80517,13895,7,6,261,756148,418,462
18.1,102.2,5.2,47.9,65246,13720,14,6,378,761566,418,462
15.5,95.5,4.4,56.7,82240,14580,9,6,355,767418,418,462
16.2,108.3,2.7,59,68515,14458,27,19,1201,773184,418,462
16.7,92.5,4.8,50.7,71656,14251,10,5,336,778179,418,462
8.5,88.6,2.8,105.5,96086,13729,8,5,313,783985,418,462
14.8,91.5,4.2,60.5,93363,14684,8,5,247,790020,418,462
12.8,99.6,4.1,68.4,54900,16598,22,6,553,796101,418,462
34,108.2,4.7,21.6,46265,9059,18,8,509,800274,418,462
16.2,95.2,4.1,55.1,64819,10339,8,6,181,804113,418,462
15.3,91.3,4.5,57.4,84077,13243,10,6,575,808686,418,462
16.5,89.6,4.1,48,111472,12274,6,5,243,813369,418,462
17.3,94.4,5.1,47.8,88690,13491,10,6,277,818994,418,462
16.3,90.9,4.2,51.5,98878,17540,7,5,232,825108,418,462
16.8,94.5,4.4,53.4,97724,15779,7,5,292,831128,418,462
14.7,96.6,4.7,59.6,90332,16280,10,7,318,837221,418,462
16.1,95.8,4,54.4,65579,14014,13,6,346,843255,418,462
15.2,93.2,4.3,58,117350,16058,6,6,303,849388,418,462
17.6,99.9,4.2,47.6,94759,15236,7,5,324,855508,418,462
15.2,95.3,4.5,56.8,110159,14471,5,7,407,861270,418,462
14.8,91,5.2,57.9,106544,13832,7,6,237,866881,418,463
16.4,90.9,4.7,53.6,98776,15328,8,6,296,872888,418,463
16.5,92.4,4,51.5,108290,16089,8,6,307,878921,418,463
16.1,92,4,54.1,96954,15269,7,5,264,884976,435,482
16.7,90.5,3.9,51.1,102664,15931,6,5,280,890736,435,482
15.3,110.3,4.2,45.9,79607,15674,30,11,732,896673,435,482
17.1,86.7,4,50.7,83780,10593,7,6,444,901747,435,482
16.9,90.4,4,49.8,111291,12034,5,5,281,906227,435,482
17.3,93.7,5.3,48.4,107840,12343,5,6,267,911176,435,482
16.7,91.8,4.5,51.5,85818,17034,10,7,311,917035,435,482
15.8,91.2,4.7,52.9,99211,14065,7,6,275,923088,435,482
18.2,94.5,6.2,45.7,96345,15376,8,6,308,929129,435,483
17,90.5,3,56.1,124320,15914,5,6,276,935178,435,483
16.3,92.6,4.9,52.2,98213,14993,9,5,282,941238,435,483
18.1,96.8,4.3,44.7,84117,17010,10,6,323,947308,435,483
18.8,92.4,2.7,50.2,78762,15791,12,6,455,953412,445,495
17.2,93.3,3.9,49.5,79966,15780,9,6,381,959233,445,495
10.1,89.1,3.9,91.9,99462,14483,6,5,295,964976,445,495
16.4,95.3,4.4,53.5,73465,16783,12,5,333,970950,445,495
14.9,130.8,18.1,25.8,38436,7593,24,16,1214,976115,445,495
