Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
26:48.1,13.1,120.9,5.4,65.3,94013,8862,5,63,192,862019,615,822
26:52.8,14.2,127.5,10.1,57.7,81364,8679,6,62,218,866249,615,822
26:57.5,18.2,122.4,5.6,44,126437,10333,7,62,224,872394,628,841
26:59.1,13.6,120.7,4.7,61.6,77362,9390,7,63,206,874524,628,841
27:05.3,12.1,122.7,5.3,71.4,79818,7759,10,64,242,882502,628,849
27:11.6,13.2,128.5,9.7,64.7,106372,10226,6,62,252,890609,628,849
27:13.3,15.5,123.1,2.8,61.8,70912,17133,14,62,275,893312,628,849
27:23.4,38.9,121.8,3.2,20.4,105688,25801,13,62,283,915997,628,849
27:25.1,45.4,134,8.7,0,81142,26160,20,62,326,920121,628,849
27:28.4,14.4,116,3,58,109243,18292,10,62,285,927430,688,915
27:30.0,65.8,121.9,3,12.3,100108,19098,13,62,309,931084,688,915
27:33.2,15.1,119.9,3.5,48.8,75257,17391,19,62,323,938249,688,915
27:34.9,95,123,2.8,6.9,94855,21711,12,63,288,941947,693,922
27:36.6,15.8,121.1,2.9,57.4,92664,19582,15,61,258,945583,693,922
27:38.3,11.9,153.4,10.3,69.7,74201,18901,30,70,792,949220,693,922
27:40.0,15.1,127.1,2.7,59.9,60747,12533,19,66,660,952191,693,922
27:41.7,89.5,123.2,2.5,8.1,84465,14729,12,62,304,954972,693,922
27:45.1,89.7,121.6,2.3,7.8,84046,19438,11,63,283,960639,693,922
27:46.7,80,121.1,2.5,8.3,92280,18511,10,62,263,963664,693,922
27:50.0,19.4,119.6,5.7,48.1,82534,10982,13,63,301,970384,741,971
27:53.4,12.9,126.9,2.9,74.5,57617,10836,25,62,298,977119,741,971
27:55.0,15.3,138.6,3.4,62.1,43506,6779,37,86,1017,980114,786,1065
27:58.2,13.2,123.7,5.6,64.4,120322,10955,5,63,201,984493,786,1065
28:04.6,13.3,121.7,5.4,60.9,96840,11648,11,64,230,994086,786,1065
28:09.4,13.5,125.8,5.4,61.7,99899,17314,10,63,271,1001856,786,1065
28:14.2,17.2,123.3,5.4,47.3,107019,27364,12,64,254,1012245,786,1065
28:17.4,13.3,137,4.9,63.1,47241,18944,38,94,527,1019947,786,1065
28:25.5,17.3,126.7,5.2,45.5,104354,26835,12,62,230,1038113,786,1065
28:27.2,16.3,126.4,7.1,47,95184,22748,13,62,246,1041998,786,1065
28:28.9,12.5,126.5,5.1,68.2,100834,20396,18,62,296,1045894,786,1065
28:35.5,12.9,125,3,73.8,94900,19223,12,63,252,1061379,786,1065
28:37.7,1.6,150.4,4.3,597.3,112750,928,39,67,719,1064861,786,1065
28:39.7,22.1,102.2,3.3,38.3,78756,19629,14,65,432,1066686,786,1065
28:40.8,133.1,108,3.2,4.8,97031,20265,13,62,317,1068843,786,1065
28:43.1,23.4,103.9,3,39.3,84599,15758,12,61,199,1073411,795,1076
28:44.2,140.3,105.7,2.1,4,87955,16040,14,61,250,1075731,795,1076
26:48.1,13.1,120.9,5.4,65.3,94013,8862,5,63,192,862019,615,822
26:52.8,14.2,127.5,10.1,57.7,81364,8679,6,62,218,866249,615,822
26:57.5,18.2,122.4,5.6,44,126437,10333,7,62,224,872394,628,841
26:59.1,13.6,120.7,4.7,61.6,77362,9390,7,63,206,874524,628,841
27:05.3,12.1,122.7,5.3,71.4,79818,7759,10,64,242,882502,628,849
27:11.6,13.2,128.5,9.7,64.7,106372,10226,6,62,252,890609,628,849
27:13.3,15.5,123.1,2.8,61.8,70912,17133,14,62,275,893312,628,849
27:23.4,38.9,121.8,3.2,20.4,105688,25801,13,62,283,915997,628,849
27:25.1,45.4,134,8.7,0,81142,26160,20,62,326,920121,628,849
27:28.4,14.4,116,3,58,109243,18292,10,62,285,927430,688,915
27:30.0,65.8,121.9,3,12.3,100108,19098,13,62,309,931084,688,915
27:33.2,15.1,119.9,3.5,48.8,75257,17391,19,62,323,938249,688,915
27:34.9,95,123,2.8,6.9,94855,21711,12,63,288,941947,693,922
27:36.6,15.8,121.1,2.9,57.4,92664,19582,15,61,258,945583,693,922
27:38.3,11.9,153.4,10.3,69.7,74201,18901,30,70,792,949220,693,922
27:40.0,15.1,127.1,2.7,59.9,60747,12533,19,66,660,952191,693,922
27:41.7,89.5,123.2,2.5,8.1,84465,14729,12,62,304,954972,693,922
27:45.1,89.7,121.6,2.3,7.8,84046,19438,11,63,283,960639,693,922
27:46.7,80,121.1,2.5,8.3,92280,18511,10,62,263,963664,693,922
27:50.0,19.4,119.6,5.7,48.1,82534,10982,13,63,301,970384,741,971
27:53.4,12.9,126.9,2.9,74.5,57617,10836,25,62,298,977119,741,971
27:55.0,15.3,138.6,3.4,62.1,43506,6779,37,86,1017,980114,786,1065
27:58.2,13.2,123.7,5.6,64.4,120322,10955,5,63,201,984493,786,1065
28:04.6,13.3,121.7,5.4,60.9,96840,11648,11,64,230,994086,786,1065
28:09.4,13.5,125.8,5.4,61.7,99899,17314,10,63,271,1001856,786,1065
28:14.2,17.2,123.3,5.4,47.3,107019,27364,12,64,254,1012245,786,1065
28:17.4,13.3,137,4.9,63.1,47241,18944,38,94,527,1019947,786,1065
28:25.5,17.3,126.7,5.2,45.5,104354,26835,12,62,230,1038113,786,1065
28:27.2,16.3,126.4,7.1,47,95184,22748,13,62,246,1041998,786,1065
28:28.9,12.5,126.5,5.1,68.2,100834,20396,18,62,296,1045894,786,1065
28:35.5,12.9,125,3,73.8,94900,19223,12,63,252,1061379,786,1065
28:37.7,1.6,150.4,4.3,597.3,112750,928,39,67,719,1064861,786,1065
28:39.7,22.1,102.2,3.3,38.3,78756,19629,14,65,432,1066686,786,1065
