Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
20:01.9,53.2,132.2,46.1,0,16396,7306,46,65,637,111502,147,227
20:03.1,53,132.2,54.3,0,46497,6007,12,62,344,112557,147,228
20:04.3,53.4,127.1,48.1,0,49163,9265,17,62,255,113812,147,228
20:05.5,53.2,130.3,42.7,0,23019,14493,40,62,479,115468,147,228
20:06.7,54,131.2,49.6,0,61959,18475,21,62,318,117563,147,228
20:07.9,54.4,119,30.4,0,64183,20607,36,62,413,120041,147,228
20:09.0,53.9,122,37,0,36898,23508,43,63,339,122774,147,228
20:10.2,54.7,125.2,42.8,0,59014,29768,34,63,297,126079,147,228
20:11.4,54.2,118.4,37.8,0,85333,35004,26,63,291,129886,147,228
20:12.6,53.5,128,33.9,0,19160,26775,73,66,405,133711,147,228
20:13.8,53.8,130.9,40.7,0,23372,17495,51,67,498,135881,147,228
20:15.0,53.1,129.9,39.2,0,20187,16497,55,64,376,137889,147,228
20:16.1,51.6,148.4,65.8,0,23902,2104,13,64,562,138340,147,228
20:17.3,53.6,134.9,38.5,0,8933,1880,79,76,3835,138838,147,228
20:18.5,52.1,151.1,45.9,0,12347,1878,54,74,3963,139341,147,228
20:19.7,52.1,129,42.7,0,19709,2007,18,72,1542,139853,147,228
20:20.9,53.7,128.4,50.4,0,64086,3431,6,63,586,140419,147,228
20:22.1,52.9,130.7,41.4,0,27641,5830,42,61,601,141272,147,228
20:23.3,53.1,130.9,45.7,0,21006,10563,36,63,426,142595,147,228
20:24.5,53.6,130.5,38.1,0,44960,14037,28,63,599,144242,147,228
20:25.6,53.9,93.7,3.1,0,18708,14289,58,64,418,146086,152,233
20:26.8,53.6,128.1,47.8,0,54951,12674,16,63,234,148039,152,233
20:28.0,54.1,131.7,44.5,0,21676,12348,46,63,500,149938,152,233
20:29.2,53.8,131.5,43,0,19793,15436,52,64,488,151862,152,235
20:30.4,54.8,125.6,40.8,0,74466,15986,22,65,366,153960,152,235
20:31.5,62.8,103.2,26,0,24256,1378,11,63,559,155231,152,235
20:32.7,54,127.6,42.8,0,27949,13224,39,63,642,157312,152,235
20:33.9,53.4,129.4,33.9,0,15451,15907,65,64,505,159195,152,235
20:35.1,50,165.8,76,0,52874,16313,28,66,416,161493,158,243
20:36.4,48.7,141.9,54,0,47249,16776,30,64,414,164077,158,243
20:37.7,47.9,147.2,59.8,0,54954,18046,24,62,346,166706,158,243
20:39.0,47.7,150.5,70.5,0,95974,23020,16,62,288,169490,158,243
20:40.3,48,179.4,82.6,0,67101,27343,48,62,394,173064,165,252
20:41.5,63.4,104.6,22.3,0,7816,1341,41,64,1450,174878,165,252
20:42.7,53.1,129.6,29.8,0,28737,8964,82,61,1239,176424,165,252
20:43.9,52.7,139.2,35.4,0,23776,12664,70,74,1774,178055,165,252
20:45.1,51.9,129.6,41.6,0,48887,11881,55,74,1479,179732,165,252
20:46.3,53.6,127.1,45.7,0,82227,14014,13,67,364,181415,165,252
20:47.5,53,127.2,45.3,0,74982,18806,17,62,236,183551,165,252
20:48.7,53.9,130.3,45.9,0,76838,27864,24,62,274,186460,165,252
20:49.9,52,134,48.6,0,84752,34757,24,63,290,190303,165,252
20:51.0,54.4,129.6,44.4,0,62044,15135,25,63,454,191786,165,252
20:52.2,53.5,147.2,62.8,0,49698,16937,43,63,306,194750,182,269
20:53.4,52.5,134.8,48.7,0,42924,17718,42,63,345,197730,182,269
20:54.6,52.5,141,58.6,0,38427,15605,43,65,392,200608,193,290
20:55.8,52.2,125.7,43.5,0,60929,17549,26,62,278,203512,193,290
20:56.9,52.7,135,54.8,0,79142,10792,15,63,274,206195,202,303
20:58.2,52.7,131.6,53.1,0,98692,16427,12,62,206,208783,202,303
20:59.3,63.8,94.4,11.8,0,18456,2173,33,62,725,210584,202,303
21:00.5,53.4,132.9,47.4,0,22590,16165,54,63,443,212373,202,303
21:01.6,53.8,140.2,57.2,0,33378,12721,32,64,413,214505,211,312
21:02.8,53.6,130.5,47.2,0,26157,12216,41,64,411,216534,211,312
21:04.0,53.4,132.2,46.4,0,45714,13985,38,62,476,218612,211,312
21:05.2,53.4,128.1,45.7,0,36655,13781,32,64,441,220770,211,312
21:06.4,51.9,86.1,6.1,3.6,6773,2083,33,63,1093,222225,211,312
21:07.5,53.9,129.5,50.8,0,24164,6710,49,63,790,223264,211,312
21:08.7,54.1,125.8,19.2,0,13782,12223,97,62,1037,224727,211,312
21:09.9,53.1,138.5,36.9,0,63157,14805,79,75,1817,226749,211,312
21:11.1,52.6,134.9,43.7,0,54068,15358,59,71,1356,228681,211,312
21:12.3,61.8,96.2,17.5,0,16796,2401,11,67,542,230074,211,312
21:13.5,53.8,130.5,51.5,0,75460,21503,18,62,279,232247,211,312
21:14.7,54,129,46.9,0,83298,31793,24,62,286,235475,211,312
21:15.8,54.8,133.5,42,0,23717,34675,92,63,464,239443,211,312
21:17.0,54.4,128.2,38.9,0,42099,31568,50,63,377,243013,211,312
21:18.2,54.5,129.6,45.3,0,39658,24965,47,63,386,246308,211,312
21:19.3,62.1,110.7,32.2,0,12095,4632,24,62,868,248500,227,330
21:20.5,44.2,159.5,74.1,0,19181,8943,44,62,680,250076,227,330
21:21.9,46.1,159.6,76.7,0,48075,10235,18,63,349,251912,227,330
21:23.3,46.2,164.5,85,0,76758,13270,11,62,346,253957,227,330
21:24.7,45.7,160.8,81,0,62661,17258,24,62,272,256303,227,330
21:26.1,44.4,168.7,84.4,0,29263,21181,40,64,349,259368,233,338
21:27.6,44.2,160.6,81.3,0,42225,18822,31,66,477,262426,233,338
21:28.9,44.7,204.8,90.2,0,71369,12510,20,63,437,265355,244,349
21:30.4,44.9,163.9,82.2,0,34785,11333,33,63,372,268018,244,349
21:31.8,43.6,179.2,85.8,0,58937,10073,75,73,1854,270503,244,349
21:33.0,53.4,139.1,29.4,0,11800,9738,77,72,1960,272010,244,349
21:34.2,52.6,125.8,49.5,0,54394,11741,14,69,558,273482,244,349
21:35.5,52.9,131.4,56.1,0,58350,13473,13,63,231,275162,244,349
21:36.6,379.1,102.4,8.8,0,43837,13431,45,62,546,276838,267,376
21:37.8,53.1,149.8,29.9,0,5702,6580,100,64,2722,278244,267,376
21:39.0,54.3,130,36.8,0,23244,5081,41,80,2942,279156,267,376
21:40.2,54.4,131.6,37.8,0,13468,5584,53,71,2310,280023,267,376
21:41.4,53.8,126.3,47.5,0,41806,6538,19,61,523,281016,267,376
21:42.6,52.8,130.2,54.8,0,58013,10250,10,62,241,282418,267,376
21:43.8,53.4,130.3,51.7,0,73919,11441,14,63,266,283937,267,376
21:45.0,52.8,129.9,49.6,0,47631,11329,15,62,265,285533,267,376
21:46.2,52.7,128.4,49,0,121067,10361,7,62,217,286903,267,376
21:47.4,53.8,132.1,47.1,0,17625,9024,38,64,435,288340,267,376
21:48.6,52.6,121.8,39.9,0,45296,10645,13,64,350,289731,267,376
21:49.8,53,128.8,46.7,0,47067,8424,16,62,554,291041,267,376
21:51.0,53,119.2,39.6,0,47811,8047,26,63,567,292385,267,376
21:52.2,54.5,123.4,38.3,0,28846,12278,32,63,467,293890,267,381
21:53.4,53.3,126.1,46.8,0,57635,10860,15,63,329,295547,270,383
21:54.6,52.9,132.6,54.6,0,43248,11136,17,62,249,297416,270,383
21:56.9,55.4,83.9,3.4,14.5,46910,12520,45,65,391,299819,271,389
21:58.0,46,135.5,32,0,23168,18061,72,64,522,302438,281,399
21:59.3,36.2,88.1,2.9,24.7,46039,9832,25,68,525,305007,292,412
22:00.6,48.3,148.3,62.8,0,45640,8719,28,65,509,307394,292,412
22:01.9,48.2,159.4,56.7,0,23634,9592,90,82,1831,309458,292,412
22:04.2,42.5,106.6,23.3,3.2,79040,299,30,65,1721,311076,292,412
22:06.8,46.9,148.7,62.1,0,10287,4791,57,64,596,313877,300,424
22:08.0,45.9,89.8,8.6,0,26413,5512,26,66,387,315116,304,431
