Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
18:28.0,52.9,154,70.4,0,0,11573,0,0,888,1248,11,23
18:29.2,53.3,145.5,63.8,0,17908,9729,38,63,497,2615,16,28
18:30.3,52.9,124.6,41.1,0,21641,9882,40,63,608,4010,17,32
18:31.4,53.6,108.2,23.5,0,29097,11723,53,66,476,5452,21,45
18:32.6,53.1,117.4,42.2,0,38810,9825,23,63,320,7061,26,53
18:33.8,53.4,128.9,48.4,0,17572,9368,41,61,478,8415,26,53
18:35.0,53.2,130.8,45.2,0,10270,7521,54,63,660,9656,26,53
18:36.2,53.8,136.4,29,0,49707,5732,51,79,2961,10682,35,68
18:37.4,54.7,132,32,0,10335,3586,62,73,3104,11554,35,69
18:38.6,54.1,135.7,48.4,0,17763,4935,33,69,1756,12378,35,69
18:39.8,53.4,130.6,48.2,0,18380,4964,20,63,762,13229,35,69
18:41.0,53.1,122.5,41.5,0,36530,7602,18,63,424,14221,35,69
18:43.3,53.6,132.4,46.6,0,10724,8817,61,63,574,16961,39,76
18:44.4,53.7,127,45,0,64884,7601,27,62,408,18382,46,90
18:45.5,53.7,130.3,50.5,0,12871,5412,55,64,747,19823,46,90
18:46.7,53.7,131.7,50.1,0,35716,8350,17,63,477,20974,46,90
18:47.9,53.2,128.5,48.4,0,23768,8317,26,64,496,22165,46,90
18:49.1,53.9,125.9,44.4,0,46131,7659,16,62,332,23305,46,90
18:50.3,53.1,127.3,48.2,0,28971,8552,26,61,333,24546,46,90
18:51.4,82.9,80.8,2.1,9.5,30393,8283,22,62,456,25806,57,104
18:52.6,54,123.8,40.7,0,18314,7855,36,63,508,27160,57,108
18:53.8,53.4,126.8,47.4,0,15841,7165,51,64,624,28452,57,108
18:55.0,53.3,119.5,37.1,0,18362,8471,34,62,461,29739,57,108
18:56.2,54.2,127.1,44.4,0,18560,7312,36,63,530,30877,57,108
18:57.4,54.8,125.2,39.4,0,13787,8219,46,63,696,32100,57,108
18:58.6,53.2,122.2,38.2,0,32921,7486,32,65,724,33239,57,108
18:59.8,53.2,129.3,47.7,0,20125,8235,49,65,528,34438,57,108
19:00.9,54,144.1,60.6,0,14180,8689,41,65,491,35846,65,117
19:02.1,53.2,123.8,42.1,0,21661,9025,29,63,429,37070,65,119
19:03.3,52.7,126,38.5,0,16816,7627,52,64,556,38594,75,132
19:04.4,51.9,127.7,46.8,0,52486,7526,13,64,378,40030,75,132
19:05.6,53.7,129.5,46.7,0,21156,8585,29,62,428,41502,75,132
19:06.8,53.6,110.3,30.6,0,12695,9498,58,64,476,42811,81,139
19:07.9,54.1,142.9,59,0,62997,8736,36,65,589,44191,82,144
19:09.1,53.3,128.8,48.8,0,34420,6808,15,63,544,45458,82,144
19:10.3,53.2,132.2,48.5,0,13373,8621,53,61,529,46805,82,144
19:11.5,53.9,128.7,41.5,0,28151,8677,33,64,535,48076,82,144
19:12.6,53.5,99.5,24.5,0,52354,7753,11,64,406,49362,88,156
19:13.8,52.8,123.9,48.1,0,89266,9260,12,61,212,50777,88,156
19:15.0,53.5,133.7,49.3,0,17839,8969,40,63,474,52408,88,156
19:16.1,54.2,127.8,46.6,0,24528,10746,34,64,431,53900,88,156
19:17.3,52.9,136.3,54.8,0,21678,6631,33,63,626,55332,94,164
19:18.5,52.6,127.1,45.1,0,26432,6657,25,63,498,56653,94,164
19:19.7,51.4,133.8,54.7,0,116160,8767,9,64,231,58039,94,164
