Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
32:36.0,18.6,108.8,2.7,51.2,104498,15554,6,62,301,1676665,918,1247
32:41.1,11.9,108.1,5.5,70.6,120600,7340,4,61,297,1682048,975,1307
32:45.2,17.8,113.5,2.3,53.4,106810,9979,6,61,268,1687370,989,1323
32:48.7,17.7,111,2.6,53.8,112467,7912,6,61,276,1692340,1004,1355
32:52.2,17.9,113.1,4.9,46.3,97409,8034,6,61,261,1697087,1004,1355
32:55.6,23.3,119.4,3.2,36.3,77690,8320,11,61,259,1701849,1004,1355
32:59.1,17.1,120.8,2.7,54.8,60618,8647,14,67,829,1706553,1004,1355
33:02.6,17.6,110.3,3.8,53.3,79495,10668,9,61,334,1711253,1004,1355
33:06.3,18.3,113.9,4.6,44.7,93285,12872,7,61,262,1716020,1004,1355
33:10.0,16.7,113.1,3.5,55.2,116790,14548,5,61,245,1721167,1004,1355
33:13.7,17.6,115.3,4.4,46.6,114746,17278,6,61,257,1726989,1004,1355
33:17.4,17.6,118.9,5.9,44.8,117485,17598,6,61,283,1732949,1004,1355
33:21.0,17.3,116.2,4.3,47.2,109204,17094,7,61,249,1738955,1004,1355
33:24.7,17.8,118.3,4.7,46.1,108526,18584,8,62,295,1744926,1004,1355
33:28.4,16.3,121.4,4.9,51.7,103047,17653,16,66,804,1750827,1004,1355
33:32.2,17.7,115.1,4.9,46.4,101965,17183,7,61,337,1756799,1004,1355
33:35.9,19.1,118.7,5.8,41.7,84768,15713,10,61,277,1762702,1004,1355
33:39.7,15.8,118.6,3,59.5,84308,8703,12,61,497,1768485,1061,1415
33:43.4,16.5,117.4,3.2,49.6,109072,7112,5,61,207,1773951,1061,1415
33:47.3,12.1,142,5.6,69.7,114252,7316,6,61,256,1779443,1061,1415
33:51.0,15.6,142.1,4.4,53.3,102319,7160,7,61,248,1784915,1061,1415
33:54.6,19,123.4,5.5,40.2,97281,12103,8,61,255,1790287,1061,1415
33:58.3,11.5,123.9,5.6,75.6,116484,13223,7,61,232,1795774,1061,1415
34:02.1,16.4,123.2,2.8,56.7,97260,17478,10,62,294,1801694,1061,1415
34:05.9,17,121.1,3.6,55.5,104975,16038,7,61,257,1807716,1061,1415
34:09.7,17.8,126.1,4.4,45.9,90330,16252,10,61,316,1813737,1061,1415
34:13.6,16.1,121.6,4.6,52.1,136842,14135,6,61,257,1819756,1061,1415
34:17.5,15.7,119.5,2.7,59.8,120952,15930,6,61,244,1825787,1061,1415
34:21.4,15.6,121.5,5.9,52.8,94986,13891,7,61,243,1831819,1061,1415
34:25.4,16.2,120.5,3,58,116502,15702,7,62,284,1837830,1061,1415
34:29.3,16.2,124.4,6,50.8,98648,15149,8,61,228,1843840,1061,1415
34:33.2,18.1,127.9,4.7,44.2,107667,15831,7,61,232,1849868,1061,1415
34:36.7,17.2,138.1,5.7,45.7,147651,17211,5,61,246,1855846,1061,1415
34:40.1,22,145.8,3,42.8,130454,15966,7,61,381,1861646,1105,1462
34:43.8,23.6,146.6,2.8,38.4,119058,16882,8,61,290,1867370,1105,1462
34:47.5,20,117.1,3.3,46.6,106396,15390,8,62,285,1873073,1105,1462
34:51.0,16.5,145.6,19.6,21.1,84337,15197,28,61,476,1878910,1112,1469
34:54.5,19.1,134.1,3.4,47.9,139578,15985,8,65,563,1884888,1112,1469
34:57.7,16.4,112.9,2.7,57,79426,15924,11,62,373,1890938,1112,1469
35:01.3,19.5,117.1,2.7,48.2,95636,18273,11,62,334,1896940,1112,1469
