Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
25:36.3,18.6,107.2,3.8,50.1,69518,30910,25,63,323,596139,276,314
25:39.8,14.7,135.3,5.3,54.4,32000,15225,100,75,1150,606728,276,314
25:42.0,29.2,106.1,5.1,21.5,64134,15064,15,63,348,610281,276,314
25:43.2,29.6,102.6,3.9,7.1,40523,19666,35,63,539,612241,318,360
25:45.4,18.3,106.5,3.9,41.3,72687,18472,15,63,273,616551,318,360
25:46.6,25.6,106.5,7.9,9.7,59584,18972,17,64,304,618702,318,360
25:47.8,76.5,108.4,2.8,8.5,49733,21587,25,63,374,620981,318,360
25:50.1,23.1,104.3,2.9,40.4,62663,25829,20,66,457,626374,318,360
25:51.2,24.3,115.5,2.9,35.8,101852,24914,28,69,915,629048,318,360
25:58.2,52.8,134.7,52,0,38125,14068,21,65,518,637059,318,360
25:59.8,41.5,125.3,19.6,5.6,26354,11694,78,494,924,639168,318,360
26:02.4,20.7,126.9,5.8,37.7,11895,11007,72,78,1889,642180,318,360
26:03.5,130.9,126,3.3,4.9,52090,10437,30,74,1540,643350,318,360
26:07.0,128.6,104.3,2.6,5,57632,9116,10,71,496,646966,318,360
26:09.4,21.8,102.6,2.6,41.7,63667,8853,10,70,1223,649411,318,360
26:10.6,99.7,105.5,2.9,7.2,49898,8631,10,63,359,650547,318,360
26:11.8,206.2,121.9,10,0,32169,10543,50,68,1427,651754,318,360
26:14.2,19.8,111.7,3.2,47.3,23885,9656,35,68,773,654107,318,360
26:15.4,88.3,106.4,3,8.6,54446,9743,13,62,276,655379,318,360
26:16.6,105.9,103.3,2.8,6.7,78276,16169,16,63,383,656915,318,360
26:17.9,125.1,142.1,3.2,5,29881,16401,95,63,558,659014,318,360
26:20.1,23.6,103.8,3,33.7,44206,23134,30,65,385,663693,318,360
26:21.2,133,134.6,7.4,3.6,17150,26742,100,63,753,666427,318,360
26:23.3,363.8,143.6,2.9,0,16644,12821,99,82,1827,669728,318,360
26:25.8,18.7,105.3,3,47.2,32086,10118,22,64,545,672455,318,360
26:27.0,132.2,106.6,2.6,4.4,46338,10972,16,63,317,673934,318,360
26:29.4,99.7,108.6,2.6,7,61358,19208,18,63,333,678102,318,360
26:31.8,22.1,108.3,2.9,39.2,61205,26810,23,64,347,683840,318,360
26:33.0,118.9,122.6,3.1,5.6,34935,27737,48,62,553,687198,318,360
26:35.5,24.5,112.9,4,29.5,47892,30916,41,64,473,694102,318,360
26:36.6,105.1,112.9,2.4,6.7,55878,30905,32,64,424,697601,318,360
26:39.1,21.5,107.9,2.6,42.4,71470,30617,24,63,423,705243,327,371
26:40.3,79.1,110.1,3.1,9.8,66325,30429,27,65,383,709121,327,371
26:42.7,24.9,115.5,2.9,36.4,36105,32740,50,64,481,716817,327,371
26:44.0,86.9,112.6,3.4,8.6,64554,30409,27,64,506,720658,327,371
26:45.2,24,110.1,2.9,38.1,58350,25815,24,64,491,724122,327,371
26:46.4,48.4,114,3.5,17.7,51170,17361,39,65,528,727856,383,429
26:48.8,20.6,108.9,2.7,45.7,57573,18444,21,63,430,734803,383,429
26:50.1,330.7,123.6,4.3,0,45189,13070,33,84,983,737232,383,429
26:52.5,22,105.8,2.6,37.4,49488,13789,15,63,449,740546,383,429
26:53.7,77.9,106.6,2.7,9,45329,15431,21,64,285,742389,383,429
26:56.0,19.1,109.5,3.5,49.6,51097,22545,25,63,409,746710,383,429
26:57.2,24.3,108.5,2.4,38.3,49242,25060,27,64,377,749600,383,429
26:58.3,86.4,110.8,2.2,8.7,49104,29745,36,64,408,752776,383,429
