Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
346.8,141.5,2.1,0,7117,3638,44,96,2026,473931,589,1044
53.5,181,39.6,0,5973,3536,62,96,2711,474966,589,1044
62.7,129.4,3.2,13.1,8228,4329,51,96,1788,475609,589,1044
38.7,145.3,2.1,21.8,4817,3916,90,97,2188,476865,589,1044
118,139.9,3.1,5.6,8107,3099,39,93,2028,477384,589,1044
23.5,144.3,2.7,39.8,4526,1747,50,97,2990,478374,589,1044
26.7,134.6,3,25.1,6238,2424,42,94,2815,479270,589,1044
25.1,135.3,4.9,30.2,7268,1938,34,93,1897,479709,589,1044
218.1,137.9,2.5,1.3,8350,2940,34,95,1632,480207,589,1044
18.1,131.6,2.4,44.3,8692,2677,28,99,1793,481230,589,1044
239.9,144.3,2.5,1.3,5776,2489,45,98,2114,481733,589,1044
21.7,140.9,2.4,42.6,7598,2448,36,100,1910,482756,589,1044
372.7,139.7,3.2,0,9322,1562,27,98,3816,483182,589,1044
28,131.1,3,33,7896,1631,25,93,1974,483885,589,1044
343.3,181.5,2.6,0,2375,1364,100,93,5020,484578,589,1044
92.8,185.7,4.6,0,2417,1062,100,111,5594,484918,589,1044
14.6,142.9,2.8,65.6,6715,1373,38,96,3144,485274,589,1044
15.8,136,3.8,60.4,6281,1384,29,90,2238,485621,589,1044
26.3,138.4,2,28.7,7825,1424,26,93,2105,486682,589,1044
21.7,134.5,2.3,43.1,5400,1245,33,92,2130,487026,589,1044
125.6,135.1,2.8,5.1,6284,1322,26,90,2235,487368,589,1044
18.9,142.8,8.7,33.6,5704,1556,51,95,3783,488083,589,1045
377.1,142.4,2.8,0,5658,1352,42,98,2341,488428,589,1045
20.8,135.2,2.8,37.7,7231,1329,27,92,1578,489854,589,1045
22.7,131.8,2.3,40.3,11606,1882,22,92,2106,490592,589,1045
58.2,162.5,8.9,0,3874,1619,84,94,2581,491072,589,1045
55.8,128.8,4.1,0,5694,2171,39,99,2463,491544,589,1045
44,123.3,2.3,20.1,9631,1965,31,91,1831,492014,589,1045
52.7,162.1,35,0,4552,3054,70,93,2431,492606,589,1045
52.4,155,39.8,0,6031,2711,54,94,2227,493237,589,1045
52.2,153.1,27.6,0,7132,2891,62,94,2546,493883,589,1045
52.9,156.3,30.2,0,4385,2847,77,96,1849,494524,589,1045
52.3,158.5,43.7,0,8151,2809,39,95,2206,495164,589,1045
51.6,154.5,34.7,0,5645,2913,55,93,1805,495805,589,1045
52.3,156.1,37.1,0,10836,3527,34,93,1602,496509,589,1045
51.4,159.2,38.9,0,9314,3739,41,92,1836,497261,589,1045
102.3,136.9,2,7.1,11411,2910,22,95,1608,498454,589,1045
