Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
52.1,178.3,41.7,0,10187,3000,45,96,2254,40720,307,463
51.1,162.8,48.1,0,8026,3338,49,97,3795,41360,307,463
51.3,159.2,48,0,7321,3210,53,95,2234,42070,307,463
53.1,117,4.6,3,8006,783,35,95,2271,42610,307,463
54.5,137.9,24.1,0,9194,3816,49,97,1581,43292,307,463
50,173.3,28.4,1.5,3390,3816,100,96,3968,44065,307,463
53.1,175.4,28.7,0,4528,2793,93,115,4344,44690,307,463
53.8,157.6,37.3,0,4704,2840,59,133,2269,45350,307,463
53.2,152.2,30.1,0,3917,2645,71,99,1989,45984,307,463
52.4,142.7,23.2,0,6977,1041,39,105,2968,46453,307,463
52.6,151.3,32.2,0,3421,1320,65,99,2874,46918,307,463
57.6,124.3,12.6,0,11566,704,33,97,2183,47343,307,463
53.3,147.3,31.6,0,3924,1006,59,98,2575,47740,307,463
55,146.5,33.7,0,6087,1015,52,97,3320,48123,307,463
56.8,140.6,23.6,0,12093,1119,25,96,2589,48507,307,463
57,144.5,28.4,0,6903,1081,40,93,2867,48891,307,463
57.2,147.7,32.4,0,6450,998,56,97,3620,49278,307,463
56.5,142.4,27.1,0,5158,1082,48,95,2759,49659,307,463
55.7,142.9,30,0,8196,1220,38,99,3825,50047,307,463
53.7,156.1,38.8,0,3789,1411,60,99,2775,50473,307,463
54.6,142.6,22.7,0,5812,1211,52,99,2944,50892,307,463
55.6,138.2,26.3,0,4705,777,47,98,3138,51287,307,463
57.9,135.3,16.5,0,5173,785,48,98,2436,51665,307,463
55.9,137.6,26.4,0,6801,1004,37,93,2641,52055,307,463
54,149.2,32.7,0,7929,1214,35,95,3646,52462,307,463
54,154.2,37.7,0,6085,1151,47,101,2807,52870,307,463
52.8,151.7,36.7,0,6784,906,46,98,4014,53259,307,463
54.5,150.5,36.8,0,10099,810,45,101,3702,53649,307,463
21.5,158.4,16.6,28.4,1971,918,100,112,6762,54055,307,463
338.4,173.1,12.3,0,2758,1031,100,103,6218,54460,307,463
260.3,173,13.3,0,2600,1266,100,110,7070,54885,307,463
50.1,183.5,24.5,0,1915,1210,94,108,7541,55308,307,463
52.3,159,42.4,0,8674,1037,37,102,3663,55722,307,463
47.1,181.2,60.2,0,7512,1138,31,100,2504,56162,307,463
47.5,184.3,69.4,0,13864,1122,26,99,3138,56595,307,463
22.2,129.9,8.3,29.1,1969,597,100,99,2728,57053,307,463
55.8,138.7,23.9,0,7675,1061,35,99,2408,57442,307,463
57.2,133.5,18,0,7473,1335,42,96,3031,57815,307,463
58,147.4,36.1,0,4671,1353,52,99,2952,58219,307,463
55.4,138.2,24.6,0,9155,1148,34,94,1939,58610,307,463
56.9,136.7,20.1,0,5651,1046,45,93,1793,58994,307,463
217.7,163.4,11.2,0,1620,997,100,93,6765,59380,307,463
63.3,142.7,12.8,0,4562,967,86,110,6266,59765,307,463
56.5,160.6,41.2,0,2520,1049,100,109,5060,60152,307,463
54.8,148.4,37.1,0,7990,1111,49,96,3654,60537,307,463
53.4,150,39.8,0,10866,1104,25,96,2267,60921,307,463
56.9,137.3,29.8,0,5258,1120,41,92,2846,61306,307,463
