Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
26.3,270.3,56.6,0,38136,777,16,94,4241,85077,0,1
82.8,163.3,4,6.5,13678,693,47,96,5674,85517,0,1
25.1,243.8,16.8,22.6,19168,361,100,165,7248,85925,0,1
56.4,178.1,5.9,7.5,4263,366,48,95,4981,86231,0,1
7.8,166.5,3.5,122.3,8304,337,42,108,4659,86600,0,1
62.4,163.8,4,12.6,7767,351,17,98,5513,86859,0,1
75,197,3.7,0,3720,276,51,112,6120,87134,0,1
83.6,142.9,3.3,8.5,5876,469,24,91,2627,87683,0,1
10.5,158.2,7.7,71.2,6521,317,16,93,3019,87947,0,1
41,142.7,3.2,18.7,4075,549,32,95,3225,88288,0,1
22.7,128,2.6,39.8,5794,709,29,104,3352,88787,0,1
12.5,157.8,3,76.2,3392,456,23,97,2382,89787,0,1
12.7,182.5,6.1,66.9,2363,408,45,109,5608,90374,0,1
23.1,134.5,4.8,35.1,3805,471,20,106,3800,90700,0,1
29.8,120.9,3.1,30.2,8655,516,15,94,4421,91097,0,1
55.1,127.4,2.7,14.6,6312,514,17,90,2854,91510,0,1
19.9,128.7,2.5,46.8,7316,498,21,94,3201,91928,0,1
23.3,119.1,3,39.8,10084,521,13,92,2260,92363,0,1
46,144.7,2.8,18.4,3641,650,32,94,2683,92751,0,1
60.6,139.9,3.5,13.3,5809,540,39,94,3022,93140,0,1
11.4,144.4,2.8,80.7,5327,488,20,92,2528,93799,0,1
13.1,149.4,3.3,65.1,6206,401,14,93,2220,94077,0,1
182.7,153.1,3.1,2,6215,398,15,91,2267,94336,0,1
20.9,126.8,3,44.1,5700,401,20,92,1731,94663,0,1
40.7,128.4,3,21.3,4030,472,26,98,3254,95099,0,1
77.7,136.7,3.2,9.9,7152,614,21,92,2560,95485,0,1
11.9,149,2.5,80.8,4606,392,23,92,3284,95802,0,1
19.6,135.2,3.1,41.2,13862,734,13,91,2575,96121,0,1
16.5,172.1,3,50.9,2592,388,48,91,2408,96461,0,1
317.8,157.7,3.3,0,2895,423,29,94,2778,96823,0,1
37.6,124.4,3.6,23.4,4539,588,23,94,4647,97163,0,1
15.7,119.2,2.8,60.2,14479,360,9,92,2243,97557,0,1
27.3,122.2,2.9,33.1,3638,517,28,95,2273,97937,0,1
27.8,121.9,3,32.7,6861,544,14,93,2568,98305,0,1
17.8,128.8,2.9,52.8,5522,686,21,100,4380,98699,0,1
21.1,116.7,3.1,44.6,6482,475,10,94,2032,99129,0,1
18.1,185.5,6,42.4,2653,682,78,106,7161,99517,0,1
86.5,152.7,3,8,4869,434,24,92,2564,100523,0,1
12.2,149.8,2.8,76.5,3636,440,28,93,2385,100874,0,1
88.1,154.8,2.9,7.7,5234,397,18,95,3840,101241,0,1
27.8,125.8,2.8,33.4,3578,458,22,96,2916,101594,0,1
58.1,951.1,69.3,0,7897,613,16,716,7382,101966,0,2
13.1,151.6,3.5,73,5300,492,19,95,2537,102687,0,2
259,158.2,2.9,0,9034,440,21,95,2745,103419,0,2
28.9,125.4,3.4,31.8,5534,611,18,94,1905,103788,0,2
32.6,122,4.6,14.8,12286,584,12,93,2663,104097,0,2
26.7,129.1,3.1,29.3,7883,617,16,93,1953,104478,0,2
71.6,157.9,2.9,10.9,4458,439,28,94,2220,104805,0,2
24.7,133.8,3.6,37,10083,537,18,110,4692,105439,0,2
24.8,136.8,2.9,37.1,7757,617,22,93,2077,105831,0,2
28.1,126.8,3,32.3,17437,674,20,92,2555,106222,0,2
15.4,165.2,3.1,61.9,2257,491,38,96,7304,106563,0,2
26.3,165.7,3.2,34.9,1311,547,100,97,6096,106926,0,2
31.6,433.8,3.5,28.5,1652,568,67,183,4630,107327,0,2
39.2,173,2.8,22.5,2288,464,49,116,6960,107672,0,3
18.4,182.4,4,40.7,2639,417,100,114,7535,107960,0,3
22.2,125.1,3.3,41.9,9129,445,15,135,6547,108328,0,3
33.3,135.5,2.8,25.9,1535,541,61,101,5138,108700,0,3
16.5,402.6,2.6,57.4,322,189,100,113,6393,109080,0,4
57,683.8,68.7,0,49499,859,1,865,11146,109521,0,6
25.1,496.9,3.4,36.9,5139,523,31,543,8446,109806,0,8
17.5,125.6,3.1,53.1,5959,426,14,104,5275,110199,0,8
123.7,153.1,3,4.7,5910,510,17,95,3354,110550,0,8
21.1,126.1,3,44.4,4526,566,28,103,4617,110902,0,8
12.7,127.4,2.3,74.7,3724,605,67,93,3953,111348,0,8
16.8,151.5,2.8,56.7,6615,536,64,106,6929,111712,0,8
33.8,124.5,2.9,26.6,7187,651,17,96,4362,112094,0,8
27.9,133,2.6,27.2,7615,540,18,93,2510,112479,0,8
192.3,157.9,2.8,1.5,8126,411,14,97,3121,112837,0,8
25.4,122.2,2.9,36,5712,606,24,95,2912,113212,0,8
76.3,195.8,2.5,10.6,10738,358,9,172,4196,113512,0,8
31.7,126.7,3,28.1,6654,451,18,96,2246,113885,0,8
35.3,128.6,4,24.1,4320,472,22,95,2603,114277,0,8
31.7,124.1,2.7,28.3,8369,589,18,97,2366,114648,0,8
27.3,128.3,3.1,33.1,5070,680,33,96,2111,115009,0,8
11.1,151.5,5.7,74.2,13039,467,18,94,3040,115295,0,8
87.5,136.1,3,7.8,4500,506,30,94,2196,115669,0,8
62.3,146.3,2.7,12.9,8374,641,20,93,2111,116056,0,8
34.9,124.8,3,25.5,6000,520,19,104,2491,116380,0,8
66.1,161.3,3.3,10.5,5460,480,23,95,3008,116715,0,8
26,126.9,3.1,35.5,7084,504,20,96,2459,117089,0,8
320.2,157.2,3.4,0,7532,379,16,98,1930,117431,0,8
46.1,133.5,2.3,18.2,4558,538,26,95,2109,117823,0,8
19.9,124.1,3.1,46.8,8180,472,14,95,2604,118180,0,8
24.1,124.3,3.6,37.7,25141,608,7,96,1924,118564,0,8
17.4,141.9,2.7,54.2,4152,472,19,101,2510,118875,0,8
10.4,149.5,2.9,86.4,7343,451,21,120,2476,119253,0,8
132.8,137.4,2.8,4,7643,659,19,106,2775,119651,0,8
34.6,129,3,25.3,4884,578,27,97,3105,120036,0,8
11.7,145.5,5.9,76.8,4617,338,12,109,3047,120397,0,8
23,130.5,3.5,38.4,7521,546,12,101,3428,120789,0,8
27.3,122.9,2.6,33.3,5987,610,20,97,2507,121176,0,8
23.1,131,2.8,39.7,3754,605,24,97,3133,121587,0,8
26.3,131.3,3,33.6,6463,572,14,141,2534,121991,0,8
12.1,157.7,4.1,70.6,7659,459,33,99,4428,122324,0,8
22.9,125,2.8,40.5,7988,453,18,100,3992,122692,0,8
21.6,126.8,2.9,43.1,7656,517,16,97,3632,123078,0,8
252.2,148.6,3.4,0,2733,624,58,98,3684,123462,0,8
22,165.9,4.9,30.2,2918,705,67,109,7209,123850,0,8
188.5,163.7,4.9,0,5824,638,56,115,8913,124243,0,8
14.1,157.2,2.8,67.6,4104,488,31,98,3649,124561,0,8
142.7,140.9,3.1,3.1,2963,586,50,97,2965,124933,0,8
73,139.1,2.6,10.4,11989,669,16,92,2750,125371,0,8
89.7,144.6,3.1,8,3905,573,31,96,2274,125733,0,8
44.5,136.1,3.2,19.3,4373,640,39,95,2499,126114,0,8
13.2,130.5,2.8,72.3,3409,698,66,99,3498,126508,0,8
23.4,123.1,3.7,37.7,5735,487,14,97,2366,126876,0,8
26.7,140,3.6,33.2,3124,637,30,101,3140,127290,0,8
25.6,124.4,3.4,34.9,9783,489,17,100,3956,127731,0,8
14.7,162.3,3.6,64,20164,672,40,99,2518,128144,0,8
76.4,149.6,2.5,10.2,6893,672,23,113,5308,128565,0,8
19.8,132.6,2.6,47.4,3454,674,33,95,2101,128953,0,8
31.7,124.8,3.1,28.6,9543,574,19,95,2497,129297,0,8
62.8,127.9,3.1,12.5,9327,561,12,96,1900,129662,0,8
28.9,128.4,3.2,31.4,7698,586,20,93,3120,130047,0,8
20.7,130.5,3.1,45.6,2876,469,43,93,3745,130391,0,8
40,139,3.9,13.3,5513,631,44,92,2717,130780,0,8
23.6,124.8,2.8,39,6609,621,19,95,3225,131216,0,8
17.9,151.1,3.4,53,4328,1227,43,117,5633,131738,0,8
17.3,144.2,3.3,54.9,8791,567,18,121,7013,132203,0,8
32.2,123.2,2.4,27.2,5154,574,17,103,3261,132597,0,8
60.8,158.4,2.8,8.7,2723,593,64,100,3334,132976,0,8
25.3,129.5,2.8,36.8,4800,553,30,100,4158,133292,0,8
22.6,149.5,3.1,40.2,4377,624,26,120,2303,133682,0,8
25,135.6,3.6,37.2,3659,681,42,101,3574,134068,0,8
8.7,125.5,2.9,110.3,10479,266,9,98,2891,134458,0,8
24.9,123.2,3,36.6,8717,577,16,99,2751,134841,0,8
21.3,124.1,3.3,43.9,6396,618,19,98,2510,135232,0,8
42.5,128.9,3.4,20.4,5688,578,19,102,2477,135636,0,8
20.2,132.7,3.5,46.6,5332,713,19,95,2239,136067,0,8
358,147.6,2.6,0,5588,477,21,95,3021,136440,0,8
26.8,138.3,3,34,4284,571,33,107,6512,137084,0,8
28,126,2.7,32.8,6885,619,19,101,2984,137462,0,8
23.2,167.2,2.4,39.7,7776,619,25,117,3348,137802,0,8
27.7,154.2,3.4,32,3299,579,40,107,3365,138163,0,8
214.7,175,5.7,0,3617,258,31,101,5364,138462,0,8
79.6,169.6,3.2,8.7,3732,411,38,94,4029,138794,0,8
28,155,4,32.4,23016,588,20,117,4923,139142,0,8
18.1,134.8,4.5,47.5,7197,558,24,101,3684,139481,0,8
102.1,169.1,6.2,0,4116,412,49,126,5899,139907,0,8
16.5,119.5,3,57.8,4408,411,18,102,3876,140311,0,8
20.5,127.7,3.1,44.6,4078,503,23,96,3412,140710,0,8
38.5,140.6,3,22.6,4201,499,34,98,3148,141063,0,8
10.7,164,4.9,82.2,8830,379,43,101,4635,141377,0,8
56,155.1,2.8,14.1,5139,344,20,96,4492,141634,0,8
27.1,126.4,2.9,32.9,6167,526,16,101,2759,141917,0,8
328.3,202,5,0,4957,531,100,110,7102,142319,0,8
304,174.5,2.9,0,3560,485,65,112,6929,142685,0,8
33.2,132,3.7,26.8,8699,570,18,108,6302,143074,0,8
27.5,124.1,2.8,32.8,11753,581,15,99,3053,143440,0,8
40.5,130,3.5,21.2,4364,528,25,96,4310,143829,0,8
22.7,132.6,3,39.5,2982,501,34,99,3147,144218,0,8
22.7,143.1,2.4,41.2,7356,637,24,94,2404,144859,0,8
23.8,126.1,5.4,32.8,5584,487,17,94,2980,145228,0,8
29.3,123.6,2.9,30.3,7159,548,19,95,2332,145611,0,8
33,135.6,2.9,27,10518,502,23,98,4534,145995,0,8
298.1,145.8,3.2,0,2588,447,53,93,3364,146352,0,8
17.7,140.9,3.6,53.3,4896,506,32,116,8098,146741,0,8
49.2,135.7,2.3,17.3,6235,664,21,93,2533,147129,0,8
36.4,125.2,2.8,24.2,4919,538,24,96,3303,147495,0,8
12.3,124.6,3.2,78.3,3562,368,27,96,3650,147879,0,8
28.2,136.6,4.4,32.3,4255,633,31,100,3227,148266,0,8
24.7,128.6,3,37.5,5326,564,28,96,4027,148650,0,8
20.4,131.2,2.5,40.5,10303,637,12,95,3514,149036,0,8
28.5,118.2,2.8,31.8,7300,601,18,93,2907,149412,0,8
11.2,152.5,2.8,81,4917,406,28,103,3838,149790,0,8
42.5,141.5,3.3,19.7,3362,592,47,98,2315,150110,0,8
42.2,152.5,3.1,19.5,2078,432,62,98,3003,150484,0,8
56,145.2,3.2,14.8,3233,482,33,100,3707,150881,0,8
35.7,180.6,5.6,17.6,3669,419,34,95,2725,151158,0,8
19.9,139.4,2.5,47.3,5504,549,28,95,5537,151477,0,8
101.6,151.5,2.8,5.8,3952,295,30,93,3193,151800,0,8
52.4,147.1,2.7,16.1,7610,553,21,91,2962,152183,0,8
12.7,178.4,5.6,66.6,2250,341,60,110,7883,152515,0,8
105.2,157.5,3,5.9,10486,483,10,99,3184,152776,0,8
167.7,161.5,3.3,1.9,17427,342,12,100,1849,153081,0,8
14.5,127.8,3.1,64.4,3569,396,27,92,2318,153361,0,8
28,153.6,7.1,11.2,5851,616,65,96,4534,153789,0,8
31.9,127.8,3.2,27.2,3783,638,28,97,2608,154193,0,8
186.2,147.3,3.2,1.9,6982,504,19,94,2926,154565,0,8
19.9,185,13.4,25.9,1150,633,100,105,8489,154934,0,8
39.4,124,3,21.7,13469,543,12,99,3567,155351,0,8
26.3,123.6,3.1,34.6,4112,563,24,90,3012,155733,0,8
11.7,164.1,19.3,49.5,5051,316,15,90,3535,156023,0,8
45.9,142.4,2.8,17.9,3049,419,38,93,3844,156427,0,8
87.3,141.8,3.1,8.4,4778,605,23,94,2560,156795,0,8
11.9,157,3.8,68.7,2404,334,31,95,3959,157372,0,8
40.2,161.5,3.7,20.3,2649,345,32,96,3423,157633,0,8
47.1,282.6,105.8,0,14998,524,33,117,4601,158246,0,8
211,156.1,2.7,0,7665,468,20,97,3834,158573,0,8
64.2,152,2.6,11.8,2613,614,46,93,3711,158963,0,8
202.3,157,3,1.1,4389,409,19,91,2885,159291,0,8
11.7,150.6,7.7,77.5,9006,381,8,93,2232,159842,0,8
92.5,196,13.6,0,2967,412,53,93,2617,160138,0,8
73.4,153.4,2.6,10.3,7515,481,12,94,2017,160459,0,8
40.7,192.3,7.5,3.8,4346,274,64,92,3177,160745,0,8
33.6,221.8,10,19.4,4243,290,81,96,6905,161004,0,8
