Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
17.9,113.4,3.7,52.5,47794,13650,19,60,386,1551019,1026,1227
14.5,117.7,3.5,64.9,45536,8366,20,60,550,1554354,1026,1227
80.4,128.1,3.4,8.6,42251,10715,18,60,570,1556946,1026,1227
77.1,105,3.3,9.9,65585,13714,13,60,419,1559908,1026,1227
10.4,122.6,7.1,83.5,61325,10690,15,60,346,1562426,1026,1227
11.7,121.5,2.3,79.6,60262,4951,9,60,429,1568984,1055,1260
76.8,133.3,5.6,0,43673,5351,12,60,529,1571151,1055,1260
65.8,133.2,6,0,56703,9051,11,61,414,1574001,1055,1260
24.1,95.2,5.4,29.5,50484,9752,12,59,285,1576496,1055,1260
11.6,125.2,3.3,73.3,61964,15849,12,59,403,1582443,1055,1260
29.4,99.8,7,4.9,82466,12176,7,60,287,1585187,1055,1260
28.5,114.9,3.8,22.6,21598,12569,55,59,990,1588449,1055,1260
17.3,115,4.8,46.5,29626,6504,44,77,2312,1590468,1082,1291
19.2,88.7,3.6,44.1,63460,5145,4,62,714,1592245,1082,1291
19.6,85.9,3,48,67822,5572,5,61,334,1594029,1082,1291
23.5,91.6,4.8,32.9,44599,7667,9,60,384,1596282,1082,1291
112.5,120.8,3.2,5.7,60146,8446,10,62,271,1598717,1082,1291
27.7,89.4,3.5,32.4,64782,9685,7,62,266,1601513,1082,1291
31.8,93.7,3,26.6,70981,12780,11,61,329,1603839,1082,1291
24,94.1,3,38.3,53463,16806,20,62,355,1606225,1082,1291
26.3,94.6,3,34.3,66915,21875,16,62,353,1611150,1082,1291
27,108.2,16.6,0,63081,11949,9,63,337,1615759,1082,1291
18,131.9,18.9,16,46309,19958,43,87,1298,1619457,1082,1291
19.9,102.8,7.7,16.3,65144,16780,14,64,452,1623067,1082,1291
29.9,99.9,3.1,28.9,65735,16804,16,61,314,1625945,1082,1291
226.6,140.6,3.1,1.5,39811,14756,27,61,591,1630076,1082,1291
14.5,111.2,3.3,64.7,92988,20168,11,65,408,1634603,1082,1291
13.5,127.9,4.1,68.6,39644,9489,19,65,712,1640152,1082,1291
41,133.3,4,18.8,56267,13087,15,62,421,1642670,1082,1291
199.4,126.8,3.8,1.1,43676,16289,22,63,453,1645667,1082,1291
19.2,119.8,3,48.9,58918,22159,19,62,534,1649538,1082,1291
14.3,101.6,3.6,65.7,69494,22940,17,64,393,1654638,1082,1291
102,128.4,3.5,5.4,71449,13564,11,61,442,1658919,1082,1291
12.3,117,3.6,77.7,43827,8479,13,62,318,1661495,1082,1291
8.5,131,2.5,106,44204,6314,31,69,989,1665934,1082,1291
106.4,142.1,9.5,0,60851,8621,14,73,630,1667754,1082,1291
11.5,122.4,2.5,75.4,67916,9237,7,67,351,1672061,1082,1291
198.1,130.2,3,1.6,73859,11082,8,62,301,1674099,1082,1291
11.3,124.4,2.3,82.3,71964,15464,10,61,254,1679623,1082,1291
132.6,130.9,6,3.5,56408,8657,9,61,309,1681753,1082,1291
11.5,122.8,3.4,78.2,60817,8461,8,61,284,1685780,1082,1291
86.1,128.6,2.6,8,65814,10735,8,61,290,1687844,1082,1291
11.9,122.6,3.5,72.9,66117,8102,8,61,274,1691358,1082,1291
11.3,123.5,4.6,78.8,97819,8904,6,61,440,1696368,1082,1291
11.2,120.2,2.3,82.7,84767,8899,6,62,271,1698911,1082,1291
34.2,97.6,2.6,26.2,61594,16087,18,61,378,1701662,1082,1291
12.2,121.6,3,75.4,62532,12166,10,62,264,1704817,1082,1291
31.3,100.1,2.5,29.1,75603,10786,7,62,235,1706976,1082,1291
19.6,109.2,2.6,47,84364,18585,15,62,283,1710464,1082,1291
111.1,127.8,3.3,0,108278,8547,5,62,309,1712845,1082,1291
30.9,94,2.6,29.4,89945,15879,9,62,259,1717984,1082,1291
30.7,94.7,2.4,29.4,91185,15639,10,62,253,1720980,1082,1291
226.4,128.4,3.1,1.1,58029,8534,11,61,310,1723279,1082,1291
11.1,130,2.6,83.7,85961,8383,17,68,918,1727302,1103,1312
85.8,135.5,10.6,1.8,75459,6571,8,61,307,1729410,1103,1312
11.6,121.3,2.7,81.6,51033,8037,12,61,332,1733789,1103,1312
89,128.5,7.2,7.5,70919,7884,10,61,276,1736079,1103,1312
103.1,111.6,3.6,0,62754,16810,14,61,335,1739741,1103,1312
76.9,133.9,2.5,7.9,61289,13813,13,60,367,1742785,1103,1312
13.8,131.4,7.4,68.9,61028,10473,13,62,326,1747124,1103,1312
100,130.7,5.3,0,69520,8451,9,61,303,1749405,1103,1312
29.4,97.1,2.6,30.6,66612,16014,12,62,376,1752462,1103,1312
309.7,151.2,3.7,0,50885,12691,38,71,962,1756193,1103,1312
19,145.9,3.1,49.8,78061,6938,26,75,1421,1758181,1103,1312
14.6,90.3,2.5,65.2,136798,5856,3,79,959,1759939,1103,1312
19,93.4,2.2,50,55458,10061,10,62,245,1762017,1103,1312
110.8,122.4,2.8,6,53361,6309,8,62,349,1763767,1103,1312
24.8,102.9,2.6,36.7,16663,11939,44,61,587,1765592,1103,1312
17.2,113.6,3,55,32259,10081,28,66,481,1767875,1103,1312
19.7,92.6,2.5,48,67677,7973,9,64,391,1770061,1114,1323
33.7,93.3,2.8,26.4,73312,9381,8,61,218,1772340,1114,1323
113.2,125,2.5,5.3,61566,6855,7,61,303,1774145,1114,1323
12.4,119.6,3,74.4,81425,7833,6,61,311,1777465,1114,1323
99.4,124.9,3,5.5,104312,9556,4,63,263,1779473,1114,1323
21.7,91.2,3.1,42.9,72449,9887,6,62,239,1782664,1114,1323
12,117.6,2.1,73.3,87109,7803,5,61,179,1784791,1114,1323
33.7,93.4,2.5,26.8,88535,10452,5,61,166,1786880,1114,1323
101.6,130.7,7.1,0,60216,7843,7,61,206,1788970,1114,1323
7.9,128,3.7,116.7,54249,6418,44,71,668,1793253,1114,1323
157.2,124.2,2.8,3.5,41268,8697,39,81,1216,1795868,1114,1323
12,118.3,2.8,71.7,88281,9095,6,62,363,1800293,1114,1323
104.8,126.3,2.6,5.4,98316,7618,6,61,207,1802072,1114,1323
12.2,118.5,3,70.6,51659,8817,10,61,334,1805745,1114,1323
28.5,94.5,2.5,32,90879,12951,8,62,223,1807782,1114,1323
73.6,127.3,2.7,10.4,92526,10229,7,62,203,1810367,1114,1323
17.3,92,2.1,54.3,91880,12497,9,61,176,1813711,1114,1323
30.4,96.6,2.1,29.7,85089,10705,6,61,172,1816156,1114,1323
18.1,94.8,2.1,52.6,102065,11768,6,61,213,1818390,1114,1323
18.7,95.1,2.9,50.7,80095,11696,9,61,241,1820790,1114,1323
94.9,116.5,2.1,7.8,80820,12948,9,61,202,1823369,1114,1323
30.8,93.9,3.1,29.5,78094,16225,10,61,263,1827142,1114,1323
122.1,116.6,2.8,4.7,77902,11540,7,61,244,1829571,1114,1323
11.9,121,3.6,72.8,88391,8436,5,62,189,1833458,1114,1323
84.7,147.5,7.3,0,43110,8205,30,71,1009,1835364,1114,1323
132.5,127.5,3,3.8,83635,9204,7,62,411,1837661,1114,1323
27.3,96.3,3.4,33.2,86268,15109,12,62,239,1840228,1114,1323
29.9,102.7,2.8,30.2,66875,19811,16,61,271,1844141,1114,1323
26.3,97.8,2.5,33.9,86077,23742,15,61,354,1848706,1114,1323
16,159.4,3.5,48.6,20737,12691,69,68,1107,1865466,1114,1323
101.2,132.4,2.5,6.2,92922,14519,7,66,561,1868141,1114,1323
12.6,127.1,2.8,75.8,74941,16895,10,61,353,1878019,1114,1323
166.8,129,3.5,1.3,95078,12326,7,61,261,1881165,1114,1323
11.5,125.9,6.3,77,88447,14089,8,61,343,1886865,1114,1323
127.4,130.6,3.3,5,70699,12211,15,62,516,1889732,1114,1323
8,137.7,2.6,118.5,40969,7247,33,83,1003,1895503,1161,1372
100.7,135.2,7.2,0,77870,9753,8,61,502,1898078,1161,1372
12.2,121.3,2.8,75.7,83845,7691,7,61,293,1903128,1161,1372
117.5,126.7,3.2,1.6,91733,8343,6,61,286,1905538,1161,1372
10.2,124.8,2.8,95,59192,6055,15,62,398,1911993,1180,1393
86.4,129.5,2.5,8,85704,5928,5,61,243,1914113,1180,1393
15.6,128.8,3.6,60.6,43508,7926,40,80,1263,1918661,1180,1393
96.7,140,2.9,7.6,68708,5518,25,73,1588,1920992,1180,1393
39.3,123.1,16.2,0,54956,10083,10,61,317,1922629,1180,1393
