Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
15:32:23.767,281.8,4295044.0,3.5,0.0,17764,23485,100,29,929,5117665,2670,3664
15:32:24.800,61.8,4295024.5,6.5,0.0,41925,23102,80,24,863,5120831,2670,3664
15:32:25.818,70.1,4295030.5,11.8,0.0,35942,25770,77,21,973,5124028,2670,3664
15:32:26.832,68.5,4295018.5,13.7,0.0,46531,24369,38,23,642,5127182,2670,3664
15:32:27.877,67.6,4295033.0,9.1,0.0,28807,22507,85,24,942,5130304,2670,3664
15:32:28.927,143.6,4295040.5,9.2,0.0,27436,25125,100,21,882,5133366,2670,3664
15:32:29.922,66.9,4295006.0,4.4,7.9,54714,30851,32,22,516,5136357,2670,3664
15:32:30.895,82.6,4295006.0,3.8,8.7,73779,37407,31,20,259,5139570,2670,3664
15:32:31.842,47.3,4295004.0,3.4,17.2,66418,42131,36,19,273,5143377,2670,3664
15:32:32.777,52.6,4295007.0,3.0,15.4,75220,53682,42,19,268,5147604,2670,3664
15:32:33.798,49.7,4295009.0,3.7,0.0,68061,58170,48,19,392,5153430,2670,3664
15:32:34.852,66.2,4295008.5,4.0,11.3,71232,58310,45,19,301,5159425,2670,3664
15:32:35.888,62.7,4295010.0,3.9,11.8,88727,57831,36,19,287,5165288,2670,3664
15:32:36.936,48.8,4295007.0,3.6,16.5,74993,57282,44,20,369,5171167,2670,3664
15:32:37.975,106.5,4295008.0,3.6,5.7,62252,42179,49,19,334,5176709,2692,3688
15:32:38.993,60.6,4295008.0,4.1,12.7,63574,31526,43,19,289,5181856,2741,3777
15:32:40.022,71.2,4295006.5,3.6,10.6,88580,36133,31,19,287,5186948,2741,3777
15:32:41.049,64.3,4295006.5,3.3,12.0,79006,36790,35,19,290,5192037,2741,3777
15:32:42.058,51.7,4295009.5,3.8,15.9,58144,35934,49,20,262,5197143,2741,3777
15:32:43.043,66.1,4295006.5,3.6,11.7,68502,52535,42,19,276,5202227,2741,3777
15:32:44.079,66.8,4295010.0,3.6,10.2,60849,46407,47,19,329,5207242,2745,3788
15:32:45.108,69.5,4295009.0,3.7,10.8,63404,56889,50,19,319,5212650,2749,3792
15:32:46.114,59.1,4295010.0,3.8,12.6,62170,56179,51,19,382,5218378,2749,3792
15:32:47.149,61.7,4295009.5,2.9,12.7,72784,51278,40,19,282,5223832,2749,3792
15:32:48.171,62.3,4295008.0,3.3,12.8,79101,54238,39,19,283,5229496,2749,3792
15:32:49.263,48.7,4295007.0,3.4,16.9,76357,48988,34,19,300,5235237,2749,3792
15:32:50.382,53.5,4295006.0,2.9,15.0,92679,62196,39,19,312,5241295,2749,3792
15:32:51.401,48.8,4295008.0,3.5,17.2,86144,57927,38,19,291,5247298,2749,3792
15:32:52.460,66.3,4295008.5,3.9,9.9,72352,59486,45,20,322,5253411,2749,3792
15:32:53.555,39.5,4295008.0,3.2,22.0,64277,56905,49,19,319,5259559,2749,3792
15:32:54.618,51.8,4295007.5,3.1,15.9,61949,51498,57,20,382,5265641,2764,3810
15:32:55.685,48.4,4295008.0,3.8,17.0,63937,44565,44,19,306,5271358,2764,3810
15:32:56.750,58.7,4295010.0,3.6,12.9,68382,45616,41,20,290,5276948,2764,3810
15:32:57.814,62.5,4295007.0,3.4,12.7,66264,45775,43,19,304,5282578,2764,3810
15:32:58.883,51.3,4295007.0,2.9,16.0,75646,53868,40,19,283,5288190,2764,3810
15:32:59.947,66.6,4295009.0,3.1,11.2,54986,52990,54,20,325,5293809,2764,3810
15:33:00.959,38.7,4295007.0,3.1,22.8,62399,62573,57,19,309,5299841,2764,3810
15:33:01.963,62.5,4295008.0,3.3,10.4,69709,61091,51,19,294,5305955,2764,3810
15:33:02.986,80.5,4295011.5,3.3,8.5,56501,62318,62,20,335,5312100,2764,3810
15:33:03.996,58.1,4295007.0,3.4,13.7,76240,62997,46,19,303,5318152,2764,3810
15:33:05.007,41.7,4295010.0,3.6,19.9,62935,59519,53,19,305,5324292,2764,3810
15:33:06.036,62.0,4295007.5,3.8,12.8,88597,59410,38,20,305,5330406,2764,3810
15:33:07.103,53.1,4295007.0,3.2,14.7,71556,59912,47,20,321,5336547,2764,3810
15:33:08.163,66.6,4295009.5,3.0,11.4,77505,58813,40,20,341,5342624,2764,3810
15:33:09.233,51.7,4295006.0,3.4,15.9,76325,61612,44,21,340,5348756,2764,3810
15:33:10.298,89.5,4295010.5,3.4,7.1,64710,58712,54,19,318,5354890,2764,3810
15:33:11.299,85.4,4295010.0,3.5,8.1,61824,63912,58,19,311,5361011,2764,3810
15:33:12.332,53.6,4295009.0,3.1,15.0,66203,59327,50,19,316,5367136,2764,3810
15:33:13.394,62.8,4295005.0,3.2,12.4,69560,36025,29,19,318,5371694,2764,3810
15:33:14.463,58.3,4295006.0,2.9,13.8,61107,41844,37,19,302,5375786,2764,3810
15:33:15.529,63.9,4295007.0,2.8,12.0,54966,44475,51,19,334,5380755,2788,3842
15:33:16.566,40.9,4295005.5,3.3,20.9,57096,27722,47,19,309,5385465,2808,3884
15:33:17.546,54.0,4295004.0,2.9,15.2,59373,28450,42,19,284,5390048,2808,3884
15:33:18.602,72.8,4295005.0,3.4,10.0,70931,27753,33,19,285,5394656,2808,3884
15:33:19.664,57.6,4295003.0,3.5,13.9,65234,27810,38,19,305,5399263,2808,3884
15:33:20.730,63.1,4295006.0,3.0,12.6,63014,44748,39,19,300,5403823,2808,3885
15:33:21.797,73.3,4295007.0,3.7,10.0,80653,50205,33,19,286,5408720,2808,3885
15:33:22.834,71.9,4295009.0,3.2,10.4,68688,57862,46,19,302,5414365,2815,3892
15:33:23.869,47.2,4295009.0,3.1,14.8,74819,53449,44,19,308,5420205,2815,3892
15:33:24.863,65.5,4295008.0,3.3,11.8,87322,47668,37,19,293,5425364,2815,3892
15:33:25.911,159.7,4295019.5,3.5,2.7,52145,55321,100,19,356,5430896,2815,3892
15:33:26.941,72.8,4295009.0,3.6,9.9,68367,54984,43,20,284,5436591,2815,3892
15:33:27.986,59.0,4295007.0,3.0,13.5,79099,54963,33,19,269,5442176,2815,3892
15:33:29.026,78.8,4295009.0,3.2,9.1,66905,60932,46,19,299,5447856,2815,3892
15:33:30.026,82.6,4295008.0,3.2,8.2,73680,51735,41,19,262,5453262,2829,3906
15:33:31.064,58.4,4295008.0,3.3,13.8,71140,46422,41,21,285,5458815,2836,3913
15:33:32.117,50.3,4295009.0,3.6,15.8,64497,48608,48,20,297,5464423,2836,3913
15:33:33.161,72.6,4295011.5,3.4,9.8,53446,47386,55,20,277,5470057,2836,3913
15:33:34.153,53.4,4295008.0,3.2,15.0,56003,28274,44,19,304,5474981,2902,4029
15:33:36.092,106.0,4295008.0,3.4,5.6,53628,26106,50,19,327,5483838,2916,4085
15:33:37.061,67.2,4295005.5,2.8,11.1,82134,27265,33,19,272,5488039,2927,4130
15:33:38.063,52.7,4295002.0,3.1,15.8,74341,30271,32,19,269,5492318,2927,4143
15:33:39.057,73.3,4295002.0,2.9,10.6,67219,23745,32,18,313,5496181,2953,4211
15:33:40.025,91.2,4295006.0,4.0,6.6,53632,23407,38,20,314,5499709,2953,4224
15:33:41.014,47.3,4295001.0,2.8,18.0,77621,22820,25,19,314,5503286,2953,4224
15:33:42.020,55.5,4295001.0,2.8,14.7,60677,24011,35,19,266,5506869,2953,4224
15:33:43.031,61.4,4295003.5,3.1,13.0,67973,24405,28,19,295,5510449,2953,4224
15:33:44.002,75.5,4295010.0,6.9,0.0,48925,31728,35,19,273,5513663,2953,4224
