Timestamp,Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
15:11:36.797,36.9,38.9,4.2,23.1,109591,34319,15,20,282,1897340,744,939
15:11:38.758,18.7,37.6,2.9,49.8,112374,23914,12,19,296,1903359,744,939
15:11:41.079,27.2,37.7,3.0,33.6,114118,26224,11,19,277,1909346,744,939
15:11:43.129,21.3,38.9,3.7,42.7,97813,25567,13,19,318,1915409,744,939
15:11:45.395,28.4,38.1,3.3,31.2,108489,29438,13,19,298,1921525,744,939
15:11:47.531,29.8,38.5,3.3,30.2,92520,27766,17,20,347,1927612,744,939
15:11:49.829,30.6,37.6,3.4,28.1,118535,33957,14,20,309,1933701,744,939
15:11:52.083,29.2,39.8,3.8,30.0,90988,25971,17,19,381,1939749,744,939
15:11:54.081,31.2,40.6,4.1,27.5,86940,30875,19,20,294,1945686,744,939
15:11:56.084,31.9,40.2,3.0,27.9,92175,33692,23,19,325,1951513,744,939
15:11:58.180,26.0,37.4,3.3,34.3,105616,22267,11,19,289,1957597,744,939
15:12:00.148,38.3,38.9,3.2,22.3,109094,33277,15,20,302,1963707,744,939
15:12:02.474,22.3,36.2,2.9,41.5,106168,23537,11,19,312,1969843,744,939
15:12:04.765,22.1,47.8,16.4,42.0,75126,28548,24,19,281,1975112,744,939
15:12:07.727,21.4,38.1,3.3,43.0,100876,24497,11,20,302,1981231,744,939
15:12:10.312,18.8,37.8,3.4,49.5,108466,22051,11,19,301,1987350,744,939
15:12:12.643,27.1,37.7,2.8,33.6,103445,30617,14,20,301,1993430,744,939
15:12:15.176,28.3,39.1,3.5,26.6,125168,25111,11,19,303,1999514,744,939
15:12:17.648,27.3,45.8,3.4,33.3,83572,24414,27,20,352,2005553,744,939
15:12:19.509,31.2,39.1,3.1,28.4,101609,37329,19,19,319,2011588,744,939
15:12:21.512,31.4,38.9,3.3,28.2,107354,28487,14,19,285,2017704,744,939
15:12:23.540,33.9,38.9,3.1,26.3,108864,32607,16,21,299,2023833,744,939
15:12:25.713,41.6,38.2,3.3,19.6,108411,30100,14,19,278,2029205,744,939
15:12:27.698,38.0,36.1,2.9,23.0,111976,13259,12,20,253,2034818,788,986
15:12:29.756,38.7,38.8,2.8,21.9,94639,14908,19,20,326,2040334,788,986
15:12:31.627,34.1,36.1,2.8,25.6,111035,22171,13,19,291,2045738,788,986
15:12:33.445,40.5,38.8,3.5,21.2,97781,32550,17,19,295,2051453,788,986
15:12:35.300,43.0,40.5,4.0,17.6,95339,35068,20,20,405,2057444,788,986
15:12:37.223,32.3,38.3,3.3,22.6,116115,33776,19,19,351,2063556,788,986
15:12:39.306,24.4,32.7,3.2,37.6,106343,16976,7,19,277,2068715,788,986
15:12:41.466,29.4,33.2,3.1,30.2,109155,14282,7,19,211,2072405,788,986
15:12:43.495,30.1,38.1,3.7,30.0,95368,29343,17,19,298,2077007,788,986
15:12:45.502,39.0,44.5,3.5,22.2,63784,28939,35,18,275,2083059,795,995
15:12:47.640,37.5,40.7,3.2,22.1,92991,28496,19,19,295,2088558,795,995
15:12:49.571,35.2,39.0,2.9,24.7,103218,33419,20,19,337,2094672,795,995
15:12:51.834,26.6,40.7,4.2,29.3,78212,24024,16,20,353,2100805,795,995
15:12:53.846,33.5,36.7,2.7,26.2,144859,34014,15,19,324,2106907,795,995
15:12:55.772,33.4,37.1,3.0,26.0,120411,34752,15,19,315,2112974,795,995
15:12:57.983,22.2,42.0,4.1,37.0,105770,25987,13,20,325,2119118,795,995
15:13:00.797,21.5,36.6,3.3,42.7,112162,23575,9,19,283,2124959,795,995
15:13:03.455,23.7,37.2,3.3,39.1,102258,17680,9,19,280,2130348,856,1059
15:13:05.972,25.5,35.7,3.1,34.7,110266,19697,9,19,262,2135713,856,1059
15:13:08.409,32.1,32.8,2.7,28.0,122209,14324,7,19,231,2140451,856,1059
15:13:10.994,16.7,34.2,2.9,56.7,98771,13731,8,19,277,2144255,856,1059
15:13:13.510,26.8,34.9,3.1,34.2,91618,11706,11,19,235,2148013,878,1081
15:13:15.762,39.2,36.3,3.2,21.1,94289,15629,15,19,228,2152190,878,1081
