Frames Per Second,Frame Delivery Time (ms),Frame Queue Time (ms),Frame Latch Time (ms),Bandwidth Estimate (kbps),Bandwidth Utilization (kbps),Bandwidth Utilization (%),Round Trip Delay (ms),Jitter (us),Packets Received (total),Packets Lost (cumulative),Packets Dropped (cumulative)
75.1,56.8,26.8,0,74071,49255,38,19,356,231169,57,61
78.6,52.2,19.8,0,75450,57888,38,19,314,236145,57,61
78.4,49.3,18.4,0,93576,58608,33,19,306,240440,57,61
72.9,56.9,26.9,0,92721,39399,23,19,303,243933,57,61
71.8,52.6,23.4,0,74114,37384,24,19,308,247220,57,61
75.1,51.8,21,0,98196,39783,27,19,290,250449,57,61
75.4,55.4,25.5,0,71519,41844,33,19,297,253756,57,61
75.6,67.6,39.1,0,61611,37527,37,19,379,257364,57,61
76.6,55,25.4,0,76011,45275,33,19,311,260843,57,61
75.4,56.1,25.2,0,63611,42532,29,19,342,264621,57,61
72,55,23.9,0,65208,43008,38,19,345,268283,57,61
73.6,57.2,25.7,0,82092,44755,30,19,321,272079,57,61
70.3,62.4,33.4,0,65693,27009,24,19,260,275203,57,61
67.6,59.6,30.3,0,69009,24444,17,19,272,277533,57,61
71.5,56.9,27.5,0,61082,20439,24,19,277,279755,57,61
70.7,54.1,27.2,0,77231,26348,15,18,280,282279,57,61
76.8,44.3,14.2,0,85632,38120,31,19,321,285073,57,61
78.1,52.8,20.4,0,67658,48159,34,19,310,288955,57,61
73.6,55.1,27.9,0,78214,28691,22,19,303,291768,57,61
69.8,57,28.2,0,98550,35041,18,18,245,294752,57,61
67.7,61.2,32,0,90921,32361,19,19,262,297733,57,61
69.7,60.2,30.2,0,65693,26648,20,20,245,300471,57,61
68.3,59.8,30.6,0,77421,27986,21,18,339,303171,57,61
69.1,60.3,33.3,0,69611,32120,28,19,271,305954,57,61
69.5,60.1,33,0,70960,27595,22,19,243,308557,57,61
69.5,63.2,33.4,0,76611,27370,18,18,287,311228,57,61
69.2,59.4,29.5,0,60478,29840,29,19,269,314023,57,61
70.2,61.7,32.5,0,68724,33100,28,19,291,316907,57,61
70.1,61.5,30.7,0,99412,29888,21,19,293,319710,57,61
71.5,59.3,29.9,0,85603,34441,21,18,272,322668,57,61
66.6,62.1,31.9,0,102141,33943,19,19,262,325488,57,61
70.5,61.5,33.1,0,87950,30711,20,19,236,328576,57,61
69.3,61.8,32.1,0,86426,32363,21,19,263,331526,57,61
70,58.7,30.2,0,111960,35320,17,19,258,334593,57,61
71.2,58.1,29.3,0,62935,26788,25,19,243,337364,57,61
69.7,59.7,30,0,83577,33033,22,18,241,340253,57,61
73.4,60.6,29,0,65075,40139,37,19,349,343688,57,61
72.8,55.8,27.7,0,99100,33366,21,19,268,346776,57,61
73.6,57.7,26.5,0,60195,36739,32,19,340,349881,57,61
72.9,57.9,29,0,61687,36937,36,19,334,353243,57,61
73,58.5,27.6,0,64222,35164,31,19,311,356469,57,61
71.6,58.4,26,0,57822,33226,34,18,339,359277,57,61
71.7,59.1,30.1,0,53326,30618,33,19,303,362052,57,61
76.1,50.7,22.5,0,78004,36991,27,19,295,365059,57,61
79.8,63,25.4,0,55805,49553,60,19,493,368614,57,61
122.4,44.2,7.3,0,37913,41456,59,18,429,372106,57,61
80.9,48,17.1,0,73893,56472,52,18,359,376564,57,61
80.6,49,17.7,0,86253,63514,40,20,400,381330,57,61
80,47.9,16.3,0,81290,58741,35,19,323,385886,57,61
81.1,46.7,13.6,0,59563,57716,44,19,367,390392,57,61
79.1,62.1,29.8,0,66946,56706,44,19,346,394916,57,61
79.6,47,14.3,0,68737,56894,57,19,357,399380,57,61
115.4,46.7,17.7,0,94066,59755,30,19,298,404223,57,61
79.2,43.6,12.3,0,72005,50196,28,19,296,408284,57,61
81.1,43.3,12.6,0,72836,64595,40,19,313,412726,57,61
81.5,41.1,6.5,0,75553,70404,54,19,354,417765,57,61
80.5,41.6,6.5,0,65823,64718,58,19,457,422867,57,61
81.1,42.5,9.8,0,68142,72126,48,19,361,428246,57,61
81.2,42.7,7.1,0,54527,71034,72,19,441,433623,57,61
85,43.4,6.7,0,66527,70274,61,19,420,439034,57,61
67.9,40.7,8.6,2.3,74355,68658,45,19,417,444337,104,113
80.7,40.1,10.2,0,69318,53522,33,20,415,448793,104,113
78.8,50.6,20.7,0,77521,26640,34,19,511,450088,104,113
86.9,47.5,11.4,0,64962,47406,48,19,393,453716,104,113
80,48.1,13.8,0,62046,58324,53,19,397,458094,104,113
81,43.6,8.9,0,66837,64595,57,20,461,462994,104,113
81.6,48.5,14.9,0,63266,48577,38,22,378,467165,104,113
46.6,33.8,3.7,12.8,65178,50264,33,20,350,471080,104,113
79.1,43.8,8.9,0,72513,61714,46,19,353,475339,104,113
77.8,44.7,10.1,0,88449,66667,49,19,363,480483,104,113
81.3,44.9,7.9,0,70474,75746,61,19,387,486132,104,113
79.6,48.8,14.1,0,77333,68077,51,20,344,491675,104,113
76.7,47.3,12.1,0,78396,73219,53,20,300,497137,104,113
78.4,50.6,14.8,0,77950,78737,55,21,369,503231,104,113
81.3,50.6,14.6,0,70907,74957,61,21,387,508993,104,113
79.5,54.6,21.1,0,96263,73967,41,20,327,515053,104,113
80.9,51.8,13.4,0,79009,77385,58,20,337,521129,104,113
83.6,49.5,13.3,0,83182,80187,56,20,363,527223,104,113
80.5,48.9,6.8,0,58915,75032,92,19,303,533262,104,113
77.1,53.8,16.1,0,80791,76212,52,19,389,539473,104,113
79.2,49.5,14.7,0,73165,77915,63,20,424,545560,104,113
82.2,50.6,17.5,0,118346,73439,31,20,302,551522,104,113
89.2,35.1,8.4,0,43436,6419,19,19,441,552106,104,113
79.4,46.4,19.7,0,48827,14756,18,18,319,553642,104,113
83.5,45.4,18.2,0,58665,12218,14,18,302,554794,104,113
82.1,44.7,18.1,0,68811,11800,16,18,264,555919,104,113
78.7,44.2,17.3,0,40389,13509,26,18,351,557149,104,113
78.8,48.1,20.5,0,52488,15638,20,19,301,558502,104,113
79.9,47.6,21.2,0,62113,16271,19,19,267,560032,104,113
34.4,50.1,22.2,0,52543,19126,21,19,239,561699,104,113
82.1,51.6,23.2,0,49522,19068,20,19,255,563357,104,113
78.4,52.7,23.9,0,67362,23652,27,18,265,565289,104,113
73.6,52.6,23.8,0,62915,26438,26,18,299,567584,104,113
77.9,52.2,25.5,0,68953,24477,25,18,250,569819,104,113
91.2,30.8,5.1,0,26504,3452,9,18,315,570966,104,113
80.4,50.1,19.3,0,82030,48128,35,18,329,573550,104,113
56.1,51.8,20.2,0,82676,59583,40,18,358,578120,104,113
81.5,48.9,11.7,0,78226,70992,56,19,372,583425,104,113
78.6,42.5,11.1,0,98179,69454,40,19,351,588735,104,113
79.2,46.8,12,0,71204,69645,60,19,372,593998,104,113
80.1,44,10.1,0,89880,72172,46,19,389,599471,104,113
81.5,51.8,18.8,0,85230,69490,49,19,382,604792,104,113
79.8,53.4,20.3,0,80536,69617,50,19,353,610288,104,113
79.9,42.7,9.4,0,87664,76094,50,19,412,615878,104,113
78.6,43.5,9.8,0,82079,69158,49,19,332,621438,104,113
77.1,42.4,12,0,80535,66974,34,19,341,626802,104,113
88,30.2,3.3,6.3,50134,5659,18,19,408,627506,104,113
80.1,46.9,15.9,0,86652,38457,26,19,250,630485,104,113
79.4,51,7.9,0,45612,41040,83,20,448,633778,104,113
78.8,43.9,11.5,0,83588,37958,26,19,292,637084,104,113
79.7,42.1,11.2,0,63019,37819,27,19,277,640569,104,113
79.6,42.9,12.7,0,55101,26053,24,19,291,642989,104,113
78.8,45.3,18.5,0,65536,24189,22,19,212,645140,104,113
77.7,44.6,15.9,0,73021,33978,28,19,295,647766,104,113
80,58.5,31.1,0,77268,19225,13,19,212,649802,104,113
79.6,48.8,15.5,0,77201,59227,41,19,304,653261,104,113
80.8,45.1,15.4,0,80359,51064,26,19,334,657876,104,113
87.7,37.5,10.7,0,34855,3122,10,19,427,658482,104,113
82.8,49.4,18.7,0,87838,48962,32,19,288,661951,104,113
82.1,47,16.3,0,71726,54146,39,19,364,666079,104,113
80.1,48.1,16,0,73965,59605,43,19,309,670554,104,113
79.7,46,14.3,0,106149,58341,36,19,334,675034,104,113
81.6,42.6,8.4,0,85023,48080,41,19,335,679064,104,113
82,41.5,10.7,0,63615,53913,40,18,381,683195,104,113
80.7,44.8,14,0,89126,63355,37,19,317,688371,104,113
81.6,41.9,11.2,0,85894,64866,33,19,300,693180,104,113
82.9,41.8,13.6,0,51781,6344,24,19,352,693998,104,113
78.3,50.3,19.9,0,73835,43624,37,18,274,697512,104,113
80.5,47,17.4,0,87923,41963,29,19,249,700781,104,113
89.8,49.6,19.1,0,61544,44055,29,19,309,704154,104,113
79.3,44.5,13.5,0,73428,42628,33,19,325,707510,104,113
78.8,41.9,9.2,0,42129,43048,46,19,483,711335,104,113
76.7,44.8,16.9,0,105542,38042,20,19,312,714359,104,113
66.6,28.7,3.6,7.8,25630,7844,10,19,383,716584,104,113
81.2,38.8,7.8,0,59658,48879,48,18,361,719108,104,113
80.8,45.7,12.1,0,64638,63701,57,19,400,723818,104,113
60.6,63.9,5.1,12.7,45751,62427,100,19,511,729230,104,113
79.8,45.4,9.4,0,60977,66786,60,20,402,734502,104,113
79.6,47.6,14,0,84155,74367,46,20,372,740004,104,113
79.2,43.6,9.4,0,76877,77111,56,20,424,746049,104,113
78.3,50.2,14.5,0,84323,79564,55,20,400,752268,104,113
81.7,48.2,12.8,0,88895,77421,50,20,347,758427,104,113
92,39.7,13.5,0,15010,5920,22,20,416,760606,104,113
68.8,63.1,33.1,0,68714,40929,33,19,316,763775,104,113
68.9,53.3,23,0,75750,53060,44,20,302,768176,104,113
70.7,65.4,32.9,0,96629,54088,35,19,308,772990,104,113
68.5,61.2,31.6,0,77628,50514,35,20,353,777884,104,113
69.1,60.9,29.5,0,60693,46019,38,19,271,782234,104,113
69,60.6,30.3,0,78135,51391,41,18,335,786813,104,113
68.6,59.5,31.2,0,80139,43115,24,19,293,791065,104,113
69.4,60.7,29.5,0,95707,50709,34,19,280,795308,104,113
